Time(s),RA(V),LA(V),LL(V),RL(V),V1(V),V2(V),V3(V),V4(V),V5(V),V6(V),WCT(V)
0.0850,2048.946980,2047.292385,2045.464384,2047.500000,2048.247306,2044.212490,2043.521817,2043.759556,2044.506715,2044.524904,2047.234228
0.0862,2048.895831,2047.236826,2045.378580,2047.500000,2048.331274,2044.239628,2043.672828,2043.560361,2044.471187,2044.342559,2047.170674
0.0875,2048.867565,2047.204661,2045.309543,2047.500000,2048.303285,2044.313287,2043.686985,2043.232795,2044.306867,2044.118627,2047.127342
0.0887,2048.860834,2047.198812,2045.257272,2047.500000,2048.181532,2044.421837,2043.587885,2042.856538,2044.053725,2043.891497,2047.105675
0.0900,2048.875641,2047.219281,2045.223740,2047.500000,2048.024794,2044.534263,2043.451031,2042.573238,2043.800584,2043.737943,2047.107120
0.0912,2048.907945,2047.271916,2045.209932,2047.500000,2047.894645,2044.623429,2043.370807,2042.506839,2043.618500,2043.734744,2047.130230
0.0925,2048.956402,2047.356717,2045.215850,2047.500000,2047.827471,2044.712595,2043.413279,2042.675049,2043.543002,2043.891497,2047.176452
0.0938,2049.018320,2047.470758,2045.240506,2047.500000,2047.851262,2044.844406,2043.583165,2042.998188,2043.582971,2044.150618,2047.242895
0.0950,2049.091005,2047.608194,2045.283901,2047.500000,2047.970215,2045.030491,2043.842715,2043.330180,2043.720645,2044.387346,2047.328115
0.0963,2049.170421,2047.760250,2045.341103,2047.500000,2048.177334,2045.204946,2044.097545,2043.560361,2043.920493,2044.505710,2047.424891
0.0975,2049.256567,2047.918154,2045.411127,2047.500000,2048.430634,2045.278605,2044.272151,2043.644466,2044.115901,2044.464123,2047.527444
0.0988,2049.344059,2048.067286,2045.491013,2047.500000,2048.669941,2045.201069,2044.319342,2043.604627,2044.231368,2044.300972,2047.634330
0.1000,2049.432896,2048.201797,2045.576816,2047.500000,2048.842073,2044.991723,2044.248555,2043.498389,2044.209163,2044.109030,2047.736884
0.1013,2049.517696,2048.312914,2045.666565,2047.500000,2048.931638,2044.751363,2044.121140,2043.370019,2044.049284,2043.961875,2047.832215
0.1025,2049.597112,2048.391866,2045.759272,2047.500000,2048.968023,2044.576908,2044.022040,2043.246075,2043.818348,2043.891497,2047.915991
0.1037,2049.668451,2048.432805,2045.850993,2047.500000,2049.008608,2044.507126,2043.984287,2043.153117,2043.618500,2043.891497,2047.983878
0.1050,2049.727677,2048.426956,2045.938769,2047.500000,2049.089776,2044.507126,2043.998444,2043.113278,2043.529679,2043.917089,2048.031544
0.1062,2049.773442,2048.380170,2046.020628,2047.500000,2049.210128,2044.511002,2044.031478,2043.161970,2043.569648,2043.949079,2048.057543
0.1075,2049.801708,2048.286597,2046.093610,2047.500000,2049.336079,2044.499372,2044.040916,2043.325753,2043.707322,2043.977870,2048.060432
0.1087,2049.811130,2048.155010,2046.156730,2047.500000,2049.427043,2044.503249,2044.040916,2043.591347,2043.898288,2044.019458,2048.040210
0.1100,2049.799016,2047.991258,2046.208015,2047.500000,2049.471826,2044.576908,2044.069230,2043.910059,2044.111459,2044.070642,2047.998322
0.1113,2049.764019,2047.804112,2046.247465,2047.500000,2049.480222,2044.731979,2044.140017,2044.206639,2044.320190,2044.131424,2047.939101
0.1125,2049.704794,2047.608194,2046.278039,2047.500000,2049.473225,2044.933572,2044.234398,2044.396981,2044.502274,2044.182608,2047.863992
0.1138,2049.621340,2047.415200,2046.299736,2047.500000,2049.462029,2045.111903,2044.305184,2044.454526,2044.599978,2044.208200,2047.778772
0.1150,2049.515004,2047.236826,2046.313544,2047.500000,2049.445236,2045.228207,2044.314622,2044.419114,2044.573331,2044.205001,2047.687774
0.1163,2049.387131,2047.078922,2046.319461,2047.500000,2049.418646,2045.290235,2044.291027,2044.383701,2044.426776,2044.189006,2047.593887
0.1175,2049.240414,2046.947335,2046.319461,2047.500000,2049.387859,2045.367771,2044.295746,2044.432393,2044.226927,2044.179409,2047.501444
0.1187,2049.077545,2046.847914,2046.314530,2047.500000,2049.372465,2045.511212,2044.390128,2044.596176,2044.080372,2044.192205,2047.413335
0.1200,2048.906599,2046.786507,2046.308612,2047.500000,2049.392057,2045.720558,2044.569453,2044.835210,2044.071490,2044.240191,2047.333893
0.1212,2048.730270,2046.760190,2046.301709,2047.500000,2049.438239,2045.941534,2044.786530,2045.083098,2044.204722,2044.313768,2047.264561
0.1225,2048.553940,2046.768962,2046.298750,2047.500000,2049.473225,2046.096606,2044.961136,2045.291146,2044.409011,2044.393744,2047.208229
0.1237,2048.387033,2046.806976,2046.299736,2047.500000,2049.436839,2046.158634,2045.079113,2045.472635,2044.595537,2044.460923,2047.164896
0.1250,2048.232239,2046.868383,2046.306640,2047.500000,2049.285699,2046.158634,2045.192371,2045.667404,2044.719887,2044.524904,2047.136008
0.1263,2048.094944,2046.944411,2046.318475,2047.500000,2049.017004,2046.162511,2045.362258,2045.897585,2044.795385,2044.608079,2047.120119
0.1275,2047.981878,2047.026287,2046.336227,2047.500000,2048.688133,2046.220663,2045.607650,2046.118913,2044.888648,2044.729642,2047.115786
0.1288,2047.893040,2047.108164,2046.358911,2047.500000,2048.390050,2046.325336,2045.881356,2046.242857,2045.035203,2044.889593,2047.120119
0.1300,2047.831123,2047.178343,2046.385540,2047.500000,2048.205323,2046.410625,2046.088996,2046.207444,2045.230610,2045.046346,2047.131675
0.1313,2047.794780,2047.233902,2046.414141,2047.500000,2048.161940,2046.406748,2046.164501,2046.021529,2045.403812,2045.142316,2047.147563
0.1325,2047.782666,2047.271916,2046.444715,2047.500000,2048.220717,2046.305952,2046.107872,2045.769215,2045.501516,2045.126321,2047.166341
0.1338,2047.792088,2047.286537,2046.474302,2047.500000,2048.308882,2046.154757,2045.994614,2045.556740,2045.505957,2045.007957,2047.183674
0.1350,2047.814971,2047.280689,2046.499944,2047.500000,2048.360662,2046.057838,2045.909671,2045.441649,2045.465987,2044.864001,2047.198118
0.1363,2047.848621,2047.248523,2046.520656,2047.500000,2048.363461,2046.077222,2045.904952,2045.415090,2045.461546,2044.787224,2047.205340
0.1375,2047.886310,2047.190040,2046.534463,2047.500000,2048.352265,2046.209032,2045.971019,2045.428370,2045.545927,2044.851205,2047.203895
0.1388,2047.922653,2047.114012,2046.538408,2047.500000,2048.374656,2046.367980,2046.079558,2045.454929,2045.714688,2045.059142,2047.190896
0.1400,2047.952265,2047.020439,2046.535449,2047.500000,2048.457224,2046.484284,2046.211692,2045.512474,2045.910095,2045.353452,2047.169230
0.1412,2047.975148,2046.918094,2046.527559,2047.500000,2048.592971,2046.523051,2046.386298,2045.627565,2046.087738,2045.650962,2047.140341
0.1425,2047.985916,2046.812824,2046.516711,2047.500000,2048.759505,2046.546312,2046.603375,2045.800201,2046.220970,2045.910083,2047.105675
0.1437,2047.987262,2046.710479,2046.507834,2047.500000,2048.944233,2046.619971,2046.848767,2045.981690,2046.331997,2046.121219,2047.068121
0.1450,2047.977840,2046.619830,2046.504876,2047.500000,2049.154150,2046.790549,2047.061126,2046.096780,2046.460788,2046.306763,2047.034899
0.1462,2047.961688,2046.546726,2046.512766,2047.500000,2049.387859,2047.003772,2047.183822,2046.123340,2046.594021,2046.469913,2047.007455
0.1475,2047.942843,2046.497016,2046.535449,2047.500000,2049.613170,2047.166597,2047.193260,2046.096780,2046.687283,2046.594675,2046.991567
0.1487,2047.922653,2046.470698,2046.578844,2047.500000,2049.761512,2047.213118,2047.127193,2046.079074,2046.691724,2046.645860,2046.991567
0.1500,2047.907847,2046.476547,2046.644923,2047.500000,2049.760112,2047.158843,2047.046969,2046.123340,2046.594021,2046.620267,2047.010344
0.1512,2047.898424,2046.514561,2046.736644,2047.500000,2049.580983,2047.100692,2047.023373,2046.225151,2046.465229,2046.559486,2047.050788
0.1525,2047.899770,2046.584740,2046.854994,2047.500000,2049.260509,2047.120076,2047.061126,2046.340241,2046.394172,2046.521097,2047.112897
0.1537,2047.910539,2046.681237,2046.998986,2047.500000,2048.888255,2047.236379,2047.127193,2046.419919,2046.447465,2046.546690,2047.196673
0.1550,2047.932075,2046.806976,2047.164676,2047.500000,2048.556585,2047.379820,2047.193260,2046.464185,2046.602903,2046.629864,2047.300671
0.1562,2047.961688,2046.947335,2047.346145,2047.500000,2048.317279,2047.457355,2047.226293,2046.508450,2046.753899,2046.719437,2047.417668
0.1575,2047.996684,2047.096467,2047.537477,2047.500000,2048.157742,2047.430218,2047.235732,2046.570422,2046.820515,2046.751427,2047.543332
0.1588,2048.033027,2047.245599,2047.730782,2047.500000,2048.023394,2047.341052,2047.249889,2046.641247,2046.776105,2046.703442,2047.670441
0.1600,2048.065332,2047.388882,2047.918169,2047.500000,2047.852661,2047.275147,2047.278203,2046.689939,2046.682842,2046.601073,2047.790327
0.1613,2048.089560,2047.517545,2048.092735,2047.500000,2047.613355,2047.279024,2047.311237,2046.698793,2046.629549,2046.508301,2047.900102
0.1625,2048.098983,2047.622814,2048.246590,2047.500000,2047.322270,2047.341052,2047.330113,2046.698793,2046.673960,2046.473112,2047.989656
0.1638,2048.090906,2047.704691,2048.375788,2047.500000,2047.028385,2047.399204,2047.330113,2046.734205,2046.798310,2046.505102,2048.057543
0.1650,2048.059948,2047.754401,2048.474413,2047.500000,2046.793278,2047.406957,2047.301799,2046.831589,2046.949307,2046.578680,2048.096542
0.1663,2048.006107,2047.774870,2048.540492,2047.500000,2046.656131,2047.372066,2047.264046,2046.977666,2047.086980,2046.665054,2048.106653
0.1675,2047.928037,2047.763174,2048.573038,2047.500000,2046.614148,2047.344929,2047.240451,2047.114889,2047.198007,2046.741830,2048.089320
0.1688,2047.827085,2047.725160,2048.575010,2047.500000,2046.640737,2047.375943,2047.231013,2047.198994,2047.309034,2046.821806,2048.041655
0.1700,2047.707288,2047.660828,2048.549368,2047.500000,2046.705112,2047.461232,2047.245170,2047.221127,2047.424502,2046.911379,2047.972323
0.1713,2047.572686,2047.576028,2048.502028,2047.500000,2046.794677,2047.565905,2047.282922,2047.229980,2047.513323,2047.007350,2047.884214
0.1725,2047.430007,2047.482455,2048.439894,2047.500000,2046.916429,2047.639564,2047.348990,2047.265392,2047.535529,2047.093723,2047.784549
0.1737,2047.287328,2047.380110,2048.369871,2047.500000,2047.084363,2047.670578,2047.443371,2047.340644,2047.500000,2047.160903,2047.679107
0.1750,2047.152725,2047.280689,2048.299847,2047.500000,2047.287284,2047.674455,2047.561348,2047.438028,2047.455589,2047.228083,2047.577998
0.1762,2047.034274,2047.187116,2048.235741,2047.500000,2047.484606,2047.686085,2047.684044,2047.530986,2047.477795,2047.330452,2047.485556
0.1775,2046.940052,2047.105239,2048.182484,2047.500000,2047.628749,2047.740360,2047.783145,2047.623944,2047.615468,2047.503199,2047.409002
0.1787,2046.875443,2047.037984,2048.145992,2047.500000,2047.700121,2047.833403,2047.839774,2047.743461,2047.846404,2047.749524,2047.352670
0.1800,2046.847176,2046.985349,2048.130212,2047.500000,2047.721113,2047.953583,2047.839774,2047.898390,2048.095104,2048.021442,2047.320893
0.1812,2046.859291,2046.956108,2048.136130,2047.500000,2047.740705,2048.066010,2047.787864,2048.062173,2048.272747,2048.248573,2047.318004
0.1825,2046.913132,2046.947335,2048.166704,2047.500000,2047.791086,2048.135792,2047.712359,2048.163984,2048.321599,2048.373335,2047.342559
0.1837,2047.007354,2046.961956,2048.218975,2047.500000,2047.854061,2048.128038,2047.632134,2048.159558,2048.241660,2048.376534,2047.396002
0.1850,2047.140610,2046.994122,2048.291957,2047.500000,2047.876452,2048.031119,2047.575505,2048.057747,2048.059576,2048.290160,2047.475445
0.1862,2047.307518,2047.043832,2048.382692,2047.500000,2047.813477,2047.856664,2047.556629,2047.924950,2047.837522,2048.149403,2047.577998
0.1875,2047.501346,2047.114012,2048.487234,2047.500000,2047.677730,2047.651194,2047.575505,2047.849698,2047.628791,2047.992650,2047.700773
0.1888,2047.715365,2047.192964,2048.599667,2047.500000,2047.536386,2047.472863,2047.636853,2047.876258,2047.486677,2047.848694,2047.836548
0.1900,2047.941497,2047.283613,2048.717030,2047.500000,2047.467813,2047.383697,2047.735954,2047.986922,2047.446707,2047.739927,2047.980989
0.1913,2048.171668,2047.383034,2048.835380,2047.500000,2047.505598,2047.403080,2047.853931,2048.124145,2047.513323,2047.695141,2048.129764
0.1925,2048.397801,2047.488303,2048.949785,2047.500000,2047.604959,2047.511630,2047.981346,2048.234809,2047.650997,2047.730330,2048.278538
0.1938,2048.610473,2047.593573,2049.058272,2047.500000,2047.677730,2047.655071,2048.080447,2048.305634,2047.797552,2047.829500,2048.420091
0.1950,2048.806993,2047.698842,2049.155910,2047.500000,2047.645543,2047.775251,2048.137076,2048.349900,2047.890815,2047.954262,2048.552977
0.1963,2048.979285,2047.801188,2049.240728,2047.500000,2047.491603,2047.833403,2048.141795,2048.380886,2047.899697,2048.047034,2048.672863
0.1975,2049.124656,2047.894761,2049.310751,2047.500000,2047.271890,2047.814019,2048.122918,2048.385312,2047.841963,2048.072626,2048.776861
0.1988,2049.241760,2047.982485,2049.364009,2047.500000,2047.067570,2047.732607,2048.108761,2048.345473,2047.762023,2048.043835,2048.862081
0.2000,2049.331944,2048.058513,2049.400500,2047.500000,2046.940220,2047.627934,2048.127637,2048.265795,2047.704289,2047.999048,2048.929969
0.2013,2049.396554,2048.125769,2049.420225,2047.500000,2046.903834,2047.531014,2048.160671,2048.163984,2047.686525,2047.976655,2048.980523
0.2025,2049.438281,2048.181327,2049.423184,2047.500000,2046.931823,2047.461232,2048.160671,2048.079879,2047.699848,2047.973456,2049.013744
0.2037,2049.461163,2048.228114,2049.411349,2047.500000,2046.994798,2047.426341,2048.080447,2048.017908,2047.708731,2047.963859,2049.033966
0.2050,2049.471931,2048.269052,2049.386692,2047.500000,2047.081564,2047.418588,2047.882245,2047.964789,2047.690966,2047.915874,2049.041188
0.2062,2049.473277,2048.298294,2049.350201,2047.500000,2047.196319,2047.430218,2047.599101,2047.885111,2047.624350,2047.819903,2049.041188
0.2075,2049.471931,2048.324611,2049.304834,2047.500000,2047.344661,2047.445725,2047.292361,2047.770020,2047.513323,2047.704738,2049.033966
0.2087,2049.471931,2048.348004,2049.252563,2047.500000,2047.509796,2047.441848,2047.023373,2047.646077,2047.380091,2047.605568,2049.023855
0.2100,2049.478661,2048.368473,2049.198319,2047.500000,2047.653940,2047.383697,2046.825172,2047.575252,2047.255741,2047.547985,2049.015189
0.2112,2049.493468,2048.388942,2049.144075,2047.500000,2047.729510,2047.228625,2046.678880,2047.601811,2047.184684,2047.531990,2049.009411
0.2125,2049.519042,2048.412335,2049.092791,2047.500000,2047.711317,2046.972758,2046.565623,2047.747887,2047.189125,2047.551184,2049.007967
0.2137,2049.555385,2048.441577,2049.050382,2047.500000,2047.610557,2046.654862,2046.471241,2047.969215,2047.282387,2047.586374,2049.015189
0.2150,2049.601150,2048.473743,2049.016849,2047.500000,2047.480408,2046.375734,2046.414612,2048.212676,2047.428943,2047.631160,2049.031077
0.2162,2049.654991,2048.514681,2048.995152,2047.500000,2047.381047,2046.212909,2046.424050,2048.394165,2047.571057,2047.679146,2049.054188
0.2175,2049.711524,2048.558543,2048.986276,2047.500000,2047.355857,2046.193525,2046.499556,2048.464990,2047.637673,2047.711136,2049.085965
0.2188,2049.769403,2048.608254,2048.991207,2047.500000,2047.400639,2046.263307,2046.593937,2048.403018,2047.588822,2047.701539,2049.123520
0.2200,2049.823245,2048.663813,2049.009946,2047.500000,2047.472011,2046.333089,2046.645847,2048.248089,2047.420061,2047.634359,2049.165408
0.2213,2049.867663,2048.719371,2049.041506,2047.500000,2047.513995,2046.348596,2046.626971,2048.062173,2047.198007,2047.506398,2049.210185
0.2225,2049.901314,2048.777854,2049.083914,2047.500000,2047.501399,2046.325336,2046.570342,2047.938230,2047.002600,2047.352845,2049.253517
0.2238,2049.920159,2048.833413,2049.134213,2047.500000,2047.446821,2046.329212,2046.560904,2047.916097,2046.922660,2047.218486,2049.296849
0.2250,2049.921505,2048.888972,2049.189443,2047.500000,2047.386645,2046.395118,2046.674161,2047.986922,2047.002600,2047.154505,2049.332960
0.2263,2049.905352,2048.941607,2049.243687,2047.500000,2047.343262,2046.499791,2046.910115,2048.097586,2047.229094,2047.176898,2049.363292
0.2275,2049.871702,2048.988393,2049.292999,2047.500000,2047.294281,2046.561819,2047.188541,2048.172837,2047.517764,2047.260073,2049.384959
0.2288,2049.823245,2049.029332,2049.333435,2047.500000,2047.197719,2046.523051,2047.377304,2048.181690,2047.766465,2047.359243,2049.395069
0.2300,2049.761327,2049.067346,2049.360064,2047.500000,2047.031184,2046.410625,2047.386742,2048.115292,2047.886374,2047.400830,2049.395069
0.2313,2049.689988,2049.096587,2049.370913,2047.500000,2046.832462,2046.317582,2047.212136,2047.986922,2047.855286,2047.352845,2049.386403
0.2325,2049.615956,2049.122904,2049.363023,2047.500000,2046.696715,2046.329212,2046.933711,2047.783300,2047.690966,2047.212087,2049.367626
0.2338,2049.540579,2049.149222,2049.335408,2047.500000,2046.716308,2046.457146,2046.655285,2047.482294,2047.473354,2047.029743,2049.341626
0.2350,2049.471931,2049.169691,2049.288068,2047.500000,2046.923426,2046.608341,2046.447646,2047.088330,2047.273505,2046.860194,2049.309849
0.2362,2049.411360,2049.193084,2049.222975,2047.500000,2047.252297,2046.666492,2046.310792,2046.658953,2047.144714,2046.741830,2049.275183
0.2375,2049.362903,2049.210629,2049.140130,2047.500000,2047.585366,2046.600587,2046.225849,2046.304829,2047.095862,2046.677850,2049.239073
0.2387,2049.330598,2049.231098,2049.044464,2047.500000,2047.816276,2046.476530,2046.159782,2046.118913,2047.104744,2046.639461,2049.201518
0.2400,2049.315792,2049.245719,2048.938936,2047.500000,2047.910039,2046.414502,2046.126748,2046.110060,2047.140273,2046.597874,2049.166852
0.2412,2049.317138,2049.260340,2048.827490,2047.500000,2047.897444,2046.472653,2046.117310,2046.194165,2047.175801,2046.546690,2049.135075
0.2425,2049.335982,2049.266188,2048.716044,2047.500000,2047.835868,2046.604464,2046.103153,2046.247283,2047.184684,2046.508301,2049.106187
