Sequence,Volt
479,1.643667
480,1.662
481,1.665333
482,1.672667
483,1.686667
484,1.653667
485,1.658
486,1.576333
487,1.372667
488,1.353667
489,1.54
490,1.652667
491,1.669667
492,1.678667
493,1.673333
494,1.651667
495,1.633
496,1.674667
497,1.675667
498,1.623667
499,1.654
500,1.694667
501,1.674
502,1.652
503,1.665333
504,1.674667
505,1.665
506,1.655
507,1.663333
508,1.649333
509,1.617333
510,1.616667
511,1.586333
512,1.593333
513,1.598
514,1.543333
515,1.524333
516,1.531667
517,1.538667
518,1.543667
519,1.589
520,1.620667
521,1.624333
522,1.641667
523,1.659
524,1.677
525,1.673667
526,1.676333
527,1.673
528,1.664333
529,1.689333
530,1.688667
531,1.694667
532,1.694667
533,1.655
534,1.680333
535,1.687333
536,1.677
537,1.697667
538,1.691333
539,1.678333
540,1.668
541,1.665667
542,1.654
543,1.652333
544,1.658
545,1.653667
546,1.662
547,1.670333
548,1.669
549,1.666
550,1.659
551,1.675
552,1.682667
553,1.670667
554,1.686667
555,1.678
556,1.678667
557,1.684667
558,1.668333
559,1.670333
560,1.670667
561,1.67
562,1.667667
563,1.662667
564,1.655
565,1.656333
566,1.666667
567,1.643333
568,1.614667
569,1.601667
570,1.585333
571,1.597667
572,1.602667
573,1.626667
574,1.668667
575,1.667
576,1.672333
577,1.680667
578,1.694
579,1.698667
580,1.705333
581,1.626667
582,1.417333
583,1.339333
584,1.516
585,1.659667
586,1.647333
587,1.670333
588,1.683667
589,1.668667
590,1.664
591,1.669
592,1.692
593,1.686
594,1.688333
595,1.681
596,1.671
597,1.675
598,1.676667
599,1.674667
600,1.658333
601,1.661
602,1.663667
603,1.664667
604,1.662333
605,1.64
606,1.632
607,1.608333
608,1.570333
609,1.561333
610,1.552667
611,1.545333
612,1.559333
613,1.569667
614,1.594667
615,1.607
616,1.627333
617,1.663
618,1.672
619,1.686333
620,1.687333
621,1.683
622,1.679333
623,1.678667
624,1.679667
625,1.679667
626,1.678667
627,1.678333
628,1.696
629,1.703333
630,1.698667
631,1.69
632,1.673
633,1.665
634,1.663
635,1.656333
