Sequence,Volt,
0,2.00E-01,,
1,2.00E-01,,
2,4.00E-01,,
3,4.00E-01,,
4,0.00E+00,,
5,0.00E+00,,
6,0.00E+00,,
7,0.00E+00,,
8,0.00E+00,,
9,0.00E+00,,
10,0.00E+00,,
11,0.00E+00,,
12,2.10E+01,,
13,2.10E+01,,
14,2.12E+01,,
15,2.12E+01,,
16,2.10E+01,,
17,2.10E+01,,
18,2.10E+01,,
19,2.10E+01,,
20,2.18E+01,,
21,2.18E+01,,
22,2.18E+01,,
23,2.18E+01,,
24,2.16E+01,,
25,2.16E+01,,
26,2.16E+01,,
27,2.16E+01,,
28,2.08E+01,,
29,2.08E+01,,
30,2.08E+01,,
31,2.08E+01,,
32,2.10E+01,,
33,2.10E+01,,
34,2.10E+01,,
35,2.10E+01,,
36,2.54E+01,,
37,2.54E+01,,
38,2.54E+01,,
39,2.54E+01,,
40,5.60E+00,,
41,5.60E+00,,
42,5.60E+00,,
43,5.60E+00,,
44,2.10E+01,,
45,2.10E+01,,
46,2.10E+01,,
47,2.10E+01,,
48,2.20E+01,,
49,2.20E+01,,
50,2.20E+01,,
51,2.20E+01,,
52,2.22E+01,,
53,2.22E+01,,
54,2.24E+01,,
55,2.24E+01,,
56,2.28E+01,,
57,2.28E+01,,
58,2.28E+01,,
59,2.28E+01,,
60,2.34E+01,,
61,2.34E+01,,
62,2.34E+01,,
63,2.34E+01,,
64,2.44E+01,,
65,2.44E+01,,
66,2.44E+01,,
67,2.44E+01,,
68,2.56E+01,,
69,2.56E+01,,
70,2.56E+01,,
71,2.56E+01,,
72,2.44E+01,,
73,2.44E+01,,
74,2.44E+01,,
75,2.44E+01,,
76,2.22E+01,,
77,2.22E+01,,
78,2.22E+01,,
79,2.22E+01,,
80,2.14E+01,,
81,2.14E+01,,
82,2.14E+01,,
83,2.14E+01,,
84,2.10E+01,,
85,2.10E+01,,
86,2.10E+01,,
87,2.10E+01,,
88,2.10E+01,,
89,2.10E+01,,
90,2.08E+01,,
91,2.08E+01,,
92,2.10E+01,,
93,2.10E+01,,
94,2.12E+01,,
95,2.12E+01,,
96,2.16E+01,,
97,2.16E+01,,
98,2.16E+01,,
99,2.16E+01,,
100,2.20E+01,,
101,2.20E+01,,
102,2.20E+01,,
103,2.20E+01,,
104,2.18E+01,,
105,2.18E+01,,
106,2.18E+01,,
107,2.18E+01,,
108,2.16E+01,,
109,2.16E+01,,
110,2.18E+01,,
111,2.18E+01,,
112,2.14E+01,,
113,2.14E+01,,
114,2.14E+01,,
115,2.14E+01,,
116,2.14E+01,,
117,2.14E+01,,
118,2.12E+01,,
119,2.12E+01,,
120,2.16E+01,,
121,2.16E+01,,
122,2.16E+01,,
123,2.16E+01,,
124,2.14E+01,,
125,2.14E+01,,
126,2.12E+01,,
127,2.12E+01,,
128,2.14E+01,,
129,2.14E+01,,
130,2.14E+01,,
131,2.14E+01,,
132,2.18E+01,,
133,2.18E+01,,
134,2.20E+01,,
135,2.20E+01,,
136,2.16E+01,,
137,2.16E+01,,
138,2.16E+01,,
139,2.16E+01,,
140,2.10E+01,,
141,2.10E+01,,
142,2.10E+01,,
143,2.10E+01,,
144,2.16E+01,,
145,2.16E+01,,
146,2.16E+01,,
147,2.16E+01,,
148,2.30E+01,,
149,2.30E+01,,
150,2.30E+01,,
151,2.30E+01,,
152,1.04E+01,,
153,1.04E+01,,
154,1.04E+01,,
155,1.04E+01,,
156,2.18E+01,,
157,2.18E+01,,
158,2.18E+01,,
159,2.18E+01,,
160,2.22E+01,,
161,2.22E+01,,
162,2.22E+01,,
163,2.22E+01,,
164,2.26E+01,,
165,2.26E+01,,
166,2.26E+01,,
167,2.26E+01,,
168,2.28E+01,,
169,2.28E+01,,
170,2.28E+01,,
171,2.28E+01,,
172,2.36E+01,,
173,2.36E+01,,
174,2.36E+01,,
175,2.36E+01,,
176,2.48E+01,,
177,2.48E+01,,
178,2.48E+01,,
179,2.48E+01,,
180,2.54E+01,,
181,2.54E+01,,
182,2.54E+01,,
183,2.54E+01,,
184,2.40E+01,,
185,2.40E+01,,
186,2.40E+01,,
187,2.40E+01,,
188,2.22E+01,,
189,2.22E+01,,
190,2.22E+01,,
191,2.22E+01,,
192,2.18E+01,,
193,2.18E+01,,
194,2.18E+01,,
195,2.18E+01,,
196,2.14E+01,,
197,2.14E+01,,
198,2.12E+01,,
199,2.12E+01,,
200,2.12E+01,,
201,2.12E+01,,
202,2.12E+01,,
203,2.12E+01,,
204,2.16E+01,,
205,2.16E+01,,
206,2.18E+01,,
207,2.18E+01,,
208,2.20E+01,,
209,2.20E+01,,
210,2.20E+01,,
211,2.20E+01,,
212,2.20E+01,,
213,2.20E+01,,
214,2.20E+01,,
215,2.20E+01,,
216,2.20E+01,,
217,2.20E+01,,
218,2.18E+01,,
219,2.18E+01,,
220,2.22E+01,,
221,2.22E+01,,
222,2.22E+01,,
223,2.22E+01,,
224,2.20E+01,,
225,2.20E+01,,
226,2.18E+01,,
227,2.18E+01,,
228,2.18E+01,,
229,2.18E+01,,
230,2.18E+01,,
231,2.18E+01,,
232,2.18E+01,,
233,2.18E+01,,
234,2.16E+01,,
235,2.16E+01,,
236,2.16E+01,,
237,2.16E+01,,
238,2.16E+01,,
239,2.16E+01,,
240,2.20E+01,,
241,2.20E+01,,
242,2.20E+01,,
243,2.20E+01,,
244,2.24E+01,,
245,2.24E+01,,
246,2.24E+01,,
247,2.24E+01,,
248,2.22E+01,,
249,2.22E+01,,
250,2.22E+01,,
251,2.22E+01,,
252,2.18E+01,,
253,2.18E+01,,
254,2.18E+01,,
255,2.18E+01,,
256,2.18E+01,,
257,2.18E+01,,
258,2.16E+01,,
259,2.16E+01,,
260,2.40E+01,,
261,2.40E+01,,
262,2.40E+01,,
263,2.40E+01,,
