Sequence,Volt,
264,9.20E+00,,
265,9.20E+00,,
266,9.20E+00,,
267,9.20E+00,,
268,2.20E+01,,
269,2.20E+01,,
270,2.20E+01,,
271,2.20E+01,,
272,2.28E+01,,
273,2.28E+01,,
274,2.28E+01,,
275,2.28E+01,,
276,2.30E+01,,
277,2.30E+01,,
278,2.30E+01,,
279,2.30E+01,,
280,2.32E+01,,
281,2.32E+01,,
282,2.32E+01,,
283,2.32E+01,,
284,2.40E+01,,
285,2.40E+01,,
286,2.40E+01,,
287,2.40E+01,,
288,2.52E+01,,
289,2.52E+01,,
290,2.52E+01,,
291,2.52E+01,,
292,2.60E+01,,
293,2.60E+01,,
294,2.60E+01,,
295,2.60E+01,,
296,2.48E+01,,
297,2.48E+01,,
298,2.50E+01,,
299,2.50E+01,,
300,2.28E+01,,
301,2.28E+01,,
302,2.28E+01,,
303,2.28E+01,,
304,2.18E+01,,
305,2.18E+01,,
306,2.20E+01,,
307,2.20E+01,,
308,2.18E+01,,
309,2.18E+01,,
310,2.18E+01,,
311,2.18E+01,,
312,2.16E+01,,
313,2.16E+01,,
314,2.16E+01,,
315,2.16E+01,,
316,2.20E+01,,
317,2.20E+01,,
318,2.20E+01,,
319,2.20E+01,,
320,2.22E+01,,
321,2.22E+01,,
322,2.22E+01,,
323,2.22E+01,,
324,2.22E+01,,
325,2.22E+01,,
326,2.22E+01,,
327,2.22E+01,,
328,2.24E+01,,
329,2.24E+01,,
330,2.24E+01,,
331,2.24E+01,,
332,2.18E+01,,
333,2.18E+01,,
334,2.18E+01,,
335,2.18E+01,,
336,2.20E+01,,
337,2.20E+01,,
338,2.20E+01,,
339,2.20E+01,,
340,2.16E+01,,
341,2.16E+01,,
342,2.16E+01,,
343,2.16E+01,,
344,2.18E+01,,
345,2.18E+01,,
346,2.16E+01,,
347,2.16E+01,,
348,2.20E+01,,
349,2.20E+01,,
350,2.20E+01,,
351,2.20E+01,,
352,2.18E+01,,
353,2.18E+01,,
354,2.18E+01,,
355,2.18E+01,,
356,2.22E+01,,
357,2.22E+01,,
358,2.24E+01,,
359,2.24E+01,,
360,2.22E+01,,
361,2.22E+01,,
362,2.22E+01,,
363,2.22E+01,,
364,2.18E+01,,
365,2.18E+01,,
366,2.18E+01,,
367,2.18E+01,,
368,2.28E+01,,
369,2.28E+01,,
370,2.28E+01,,
371,2.28E+01,,
372,1.46E+01,,
373,1.46E+01,,
374,1.44E+01,,
375,1.44E+01,,
376,1.56E+01,,
377,1.56E+01,,
378,1.56E+01,,
379,1.56E+01,,
380,2.22E+01,,
381,2.22E+01,,
382,2.22E+01,,
383,2.22E+01,,
384,2.28E+01,,
385,2.28E+01,,
386,2.28E+01,,
387,2.28E+01,,
388,2.30E+01,,
389,2.30E+01,,
390,2.30E+01,,
391,2.30E+01,,
392,2.34E+01,,
393,2.34E+01,,
394,2.34E+01,,
395,2.34E+01,,
396,2.42E+01,,
397,2.42E+01,,
398,2.42E+01,,
399,2.42E+01,,
400,2.58E+01,,
401,2.58E+01,,
402,2.58E+01,,
403,2.58E+01,,
404,2.60E+01,,
405,2.60E+01,,
406,2.60E+01,,
407,2.60E+01,,
408,2.38E+01,,
409,2.38E+01,,
410,2.38E+01,,
411,2.38E+01,,
412,2.26E+01,,
413,2.26E+01,,
414,2.26E+01,,
415,2.26E+01,,
416,2.18E+01,,
417,2.18E+01,,
418,2.18E+01,,
419,2.18E+01,,
420,2.16E+01,,
421,2.16E+01,,
422,2.16E+01,,
423,2.16E+01,,
424,2.14E+01,,
425,2.14E+01,,
426,2.14E+01,,
427,2.14E+01,,
428,2.16E+01,,
429,2.16E+01,,
430,2.16E+01,,
431,2.16E+01,,
432,2.22E+01,,
433,2.22E+01,,
434,2.22E+01,,
435,2.22E+01,,
436,2.18E+01,,
437,2.18E+01,,
438,2.20E+01,,
439,2.20E+01,,
440,2.20E+01,,
441,2.20E+01,,
442,2.20E+01,,
443,2.20E+01,,
444,2.16E+01,,
445,2.16E+01,,
446,2.18E+01,,
447,2.18E+01,,
448,2.18E+01,,
449,2.18E+01,,
450,2.16E+01,,
451,2.16E+01,,
452,2.16E+01,,
453,2.16E+01,,
454,2.18E+01,,
455,2.18E+01,,
456,2.12E+01,,
457,2.12E+01,,
458,2.14E+01,,
459,2.14E+01,,
460,2.16E+01,,
461,2.16E+01,,
462,2.14E+01,,
463,2.14E+01,,
464,2.16E+01,,
465,2.16E+01,,
466,2.18E+01,,
467,2.18E+01,,
468,2.20E+01,,
469,2.20E+01,,
470,2.20E+01,,
471,2.20E+01,,
472,2.18E+01,,
473,2.18E+01,,
474,2.18E+01,,
475,2.18E+01,,
476,2.16E+01,,
477,2.16E+01,,
478,2.16E+01,,
479,2.16E+01,,
480,2.34E+01,,
481,2.34E+01,,
482,2.34E+01,,
483,2.34E+01,,
484,1.12E+01,,
485,1.12E+01,,
486,1.12E+01,,
487,1.12E+01,,
488,1.70E+01,,
489,1.70E+01,,
490,1.70E+01,,
491,1.70E+01,,
492,2.14E+01,,
493,2.14E+01,,
494,2.14E+01,,
495,2.14E+01,,
496,2.26E+01,,
497,2.26E+01,,
498,2.26E+01,,
499,2.26E+01,,
500,2.26E+01,,
501,2.26E+01,,
502,2.26E+01,,
503,2.26E+01,,
504,2.28E+01,,
505,2.28E+01,,
506,2.28E+01,,
507,2.28E+01,,
508,2.34E+01,,
509,2.34E+01,,
510,2.34E+01,,
511,2.34E+01,,
512,2.48E+01,,
513,2.48E+01,,
514,2.50E+01,,
515,2.50E+01,,
516,2.56E+01,,
517,2.56E+01,,
518,2.58E+01,,
519,2.58E+01,,
520,2.42E+01,,
521,2.42E+01,,
522,2.44E+01,,
523,2.44E+01,,
524,2.22E+01,,
525,2.22E+01,,
526,2.22E+01,,
527,2.22E+01,,
528,2.16E+01,,
529,2.16E+01,,
530,2.16E+01,,
531,2.16E+01,,
532,2.10E+01,,
533,2.10E+01,,
534,2.08E+01,,
535,2.08E+01,,
536,2.10E+01,,
537,2.10E+01,,
538,2.08E+01,,
539,2.08E+01,,
540,2.10E+01,,
541,2.10E+01,,
542,2.10E+01,,
543,2.10E+01,,
544,2.14E+01,,
545,2.14E+01,,
546,2.16E+01,,
547,2.16E+01,,
548,2.16E+01,,
549,2.16E+01,,
550,2.16E+01,,
551,2.16E+01,,
552,2.10E+01,,
553,2.10E+01,,
554,2.10E+01,,
555,2.10E+01,,
556,2.12E+01,,
557,2.12E+01,,
558,2.10E+01,,
559,2.10E+01,,
560,2.12E+01,,
561,2.12E+01,,
562,2.12E+01,,
563,2.12E+01,,
564,2.08E+01,,
565,2.08E+01,,
566,2.10E+01,,
567,2.10E+01,,
568,2.10E+01,,
569,2.10E+01,,
570,2.10E+01,,
571,2.10E+01,,
572,2.10E+01,,
573,2.10E+01,,
574,2.10E+01,,
575,2.10E+01,,
576,2.08E+01,,
577,2.08E+01,,
578,2.08E+01,,
579,2.08E+01,,
580,2.16E+01,,
581,2.16E+01,,
582,2.16E+01,,
583,2.16E+01,,
584,2.18E+01,,
585,2.18E+01,,
586,2.18E+01,,
587,2.18E+01,,
588,2.08E+01,,
589,2.08E+01,,
590,2.10E+01,,
591,2.10E+01,,
592,2.08E+01,,
593,2.08E+01,,
594,2.10E+01,,
595,2.10E+01,,
596,2.52E+01,,
597,2.52E+01,,
598,2.52E+01,,
599,2.52E+01,,
600,3.40E+00,,
601,3.40E+00,,
602,3.40E+00,,
603,3.40E+00,,
604,2.08E+01,,
605,2.08E+01,,
606,2.10E+01,,
607,2.10E+01,,
608,2.20E+01,,
609,2.20E+01,,
610,2.20E+01,,
611,2.20E+01,,
612,2.24E+01,,
613,2.24E+01,,
614,2.24E+01,,
615,2.24E+01,,
616,2.28E+01,,
617,2.28E+01,,
618,2.28E+01,,
619,2.28E+01,,
620,2.32E+01,,
621,2.32E+01,,
622,2.32E+01,,
623,2.32E+01,,
624,2.42E+01,,
625,2.42E+01,,
626,2.42E+01,,
627,2.42E+01,,
628,2.58E+01,,
629,2.58E+01,,
630,2.58E+01,,
631,2.58E+01,,
632,2.46E+01,,
633,2.46E+01,,
634,2.46E+01,,
635,2.46E+01,,
636,2.26E+01,,
637,2.26E+01,,
638,2.26E+01,,
639,2.26E+01,,
640,2.14E+01,,
641,2.14E+01,,
642,2.14E+01,,
643,2.14E+01,,
644,2.08E+01,,
645,2.08E+01,,
646,2.08E+01,,
647,2.08E+01,,
648,2.10E+01,,
649,2.10E+01,,
650,2.08E+01,,
651,2.08E+01,,
652,2.08E+01,,
653,2.08E+01,,
654,2.08E+01,,
655,2.08E+01,,
656,2.14E+01,,
657,2.14E+01,,
658,2.12E+01,,
659,2.12E+01,,
660,2.16E+01,,
661,2.16E+01,,
662,2.18E+01,,
663,2.18E+01,,
664,2.18E+01,,
665,2.18E+01,,
666,2.16E+01,,
667,2.16E+01,,
668,2.18E+01,,
669,2.18E+01,,
670,2.18E+01,,
671,2.18E+01,,
672,2.16E+01,,
673,2.16E+01,,
674,2.14E+01,,
675,2.14E+01,,
676,2.14E+01,,
677,2.14E+01,,
678,2.14E+01,,
679,2.14E+01,,
680,2.14E+01,,
681,2.14E+01,,
682,2.14E+01,,
683,2.14E+01,,
684,2.14E+01,,
685,2.14E+01,,
686,2.12E+01,,
687,2.12E+01,,
688,2.16E+01,,
689,2.16E+01,,
690,2.16E+01,,
691,2.16E+01,,
692,2.18E+01,,
693,2.18E+01,,
694,2.16E+01,,
695,2.16E+01,,
696,2.18E+01,,
697,2.18E+01,,
698,2.20E+01,,
699,2.20E+01,,
700,2.20E+01,,
701,2.20E+01,,
702,2.20E+01,,
703,2.20E+01,,
704,2.18E+01,,
705,2.18E+01,,
706,2.16E+01,,
707,2.16E+01,,
708,2.24E+01,,
709,2.24E+01,,
710,2.24E+01,,
711,2.24E+01,,
712,1.90E+01,,
713,1.90E+01,,
714,1.88E+01,,
715,1.88E+01,,
716,1.34E+01,,
717,1.34E+01,,
718,1.34E+01,,
719,1.34E+01,,
720,2.24E+01,,
721,2.24E+01,,
722,2.24E+01,,
723,2.24E+01,,
724,2.32E+01,,
725,2.32E+01,,
726,2.32E+01,,
727,2.32E+01,,
728,2.34E+01,,
729,2.34E+01,,
730,2.34E+01,,
731,2.34E+01,,
732,2.36E+01,,
733,2.36E+01,,
734,2.36E+01,,
735,2.36E+01,,
736,2.40E+01,,
737,2.40E+01,,
738,2.40E+01,,
739,2.40E+01,,
740,2.50E+01,,
741,2.50E+01,,
742,2.52E+01,,
743,2.52E+01,,
744,2.64E+01,,
745,2.64E+01,,
746,2.64E+01,,
747,2.64E+01,,
748,2.52E+01,,
749,2.52E+01,,
750,2.52E+01,,
751,2.52E+01,,
752,2.32E+01,,
753,2.32E+01,,
754,2.32E+01,,
755,2.32E+01,,
756,2.20E+01,,
757,2.20E+01,,
758,2.20E+01,,
759,2.20E+01,,
760,2.16E+01,,
761,2.16E+01,,
762,2.14E+01,,
763,2.14E+01,,
764,2.10E+01,,
765,2.10E+01,,
766,2.12E+01,,
767,2.12E+01,,
768,2.08E+01,,
769,2.08E+01,,
770,2.10E+01,,
771,2.10E+01,,
772,2.20E+01,,
773,2.20E+01,,
774,2.20E+01,,
775,2.20E+01,,
776,2.18E+01,,
777,2.18E+01,,
778,2.18E+01,,
779,2.18E+01,,
780,2.18E+01,,
781,2.18E+01,,
782,2.18E+01,,
783,2.18E+01,,
784,2.14E+01,,
785,2.14E+01,,
786,2.14E+01,,
787,2.14E+01,,
788,2.14E+01,,
789,2.14E+01,,
790,2.14E+01,,
791,2.14E+01,,
792,2.10E+01,,
793,2.10E+01,,
794,2.08E+01,,
795,2.08E+01,,
796,2.10E+01,,
797,2.10E+01,,
798,2.10E+01,,
799,2.10E+01,,
800,2.10E+01,,
801,2.10E+01,,
802,2.10E+01,,
803,2.10E+01,,
804,2.12E+01,,
805,2.12E+01,,
806,2.10E+01,,
807,2.10E+01,,
808,2.12E+01,,
809,2.12E+01,,
810,2.12E+01,,
811,2.12E+01,,
812,2.14E+01,,
813,2.14E+01,,
814,2.14E+01,,
815,2.14E+01,,
816,2.12E+01,,
817,2.12E+01,,
818,2.12E+01,,
819,2.12E+01,,
820,2.08E+01,,
821,2.08E+01,,
822,2.06E+01,,
823,2.06E+01,,
824,2.14E+01,,
825,2.14E+01,,
826,2.12E+01,,
827,2.12E+01,,
828,2.36E+01,,
829,2.36E+01,,
830,2.36E+01,,
831,2.36E+01,,
832,9.40E+00,,
833,9.40E+00,,
834,9.40E+00,,
835,9.40E+00,,
836,2.18E+01,,
837,2.18E+01,,
838,2.18E+01,,
839,2.18E+01,,
840,2.26E+01,,
841,2.26E+01,,
842,2.26E+01,,
843,2.26E+01,,
844,2.28E+01,,
845,2.28E+01,,
846,2.28E+01,,
847,2.28E+01,,
848,2.34E+01,,
849,2.34E+01,,
850,2.34E+01,,
851,2.34E+01,,
852,2.44E+01,,
853,2.44E+01,,
854,2.46E+01,,
855,2.46E+01,,
856,2.60E+01,,
857,2.60E+01,,
858,2.58E+01,,
859,2.58E+01,,
860,2.68E+01,,
861,2.68E+01,,
862,2.66E+01,,
863,2.66E+01,,
864,2.48E+01,,
865,2.48E+01,,
866,2.48E+01,,
867,2.48E+01,,
868,2.28E+01,,
869,2.28E+01,,
870,2.28E+01,,
871,2.28E+01,,
872,2.18E+01,,
873,2.18E+01,,
874,2.18E+01,,
875,2.18E+01,,
876,2.14E+01,,
877,2.14E+01,,
878,2.12E+01,,
879,2.12E+01,,
880,2.10E+01,,
881,2.10E+01,,
882,2.12E+01,,
883,2.12E+01,,
884,2.10E+01,,
885,2.10E+01,,
886,2.10E+01,,
887,2.10E+01,,
888,2.14E+01,,
889,2.14E+01,,
890,2.14E+01,,
891,2.14E+01,,
892,2.14E+01,,
893,2.14E+01,,
894,2.14E+01,,
895,2.14E+01,,
896,2.12E+01,,
897,2.12E+01,,
898,2.12E+01,,
899,2.12E+01,,
900,2.14E+01,,
901,2.14E+01,,
902,2.14E+01,,
903,2.14E+01,,
904,2.12E+01,,
905,2.12E+01,,
906,2.12E+01,,
907,2.12E+01,,
908,2.12E+01,,
909,2.12E+01,,
910,2.12E+01,,
911,2.12E+01,,
912,2.14E+01,,
913,2.14E+01,,
914,2.14E+01,,
915,2.14E+01,,
916,2.14E+01,,
917,2.14E+01,,
918,2.16E+01,,
919,2.16E+01,,
920,2.16E+01,,
921,2.16E+01,,
922,2.16E+01,,
923,2.16E+01,,
924,2.18E+01,,
925,2.18E+01,,
926,2.16E+01,,
927,2.16E+01,,
928,2.18E+01,,
929,2.18E+01,,
930,2.18E+01,,
931,2.18E+01,,
932,2.16E+01,,
933,2.16E+01,,
934,2.16E+01,,
935,2.16E+01,,
936,2.10E+01,,
937,2.10E+01,,
938,2.10E+01,,
939,2.10E+01,,
940,2.52E+01,,
941,2.52E+01,,
942,2.50E+01,,
943,2.50E+01,,
944,5.80E+00,,
945,5.80E+00,,
946,5.80E+00,,
947,5.80E+00,,
948,2.04E+01,,
949,2.04E+01,,
950,2.04E+01,,
951,2.04E+01,,
952,2.20E+01,,
953,2.20E+01,,
954,2.20E+01,,
955,2.20E+01,,
956,2.24E+01,,
957,2.24E+01,,
958,2.24E+01,,
959,2.24E+01,,
960,2.26E+01,,
961,2.26E+01,,
962,2.26E+01,,
963,2.26E+01,,
964,2.30E+01,,
965,2.30E+01,,
966,2.30E+01,,
967,2.30E+01,,
968,2.42E+01,,
969,2.42E+01,,
970,2.42E+01,,
971,2.42E+01,,
972,2.58E+01,,
973,2.58E+01,,
974,2.58E+01,,
975,2.58E+01,,
976,2.58E+01,,
977,2.58E+01,,
978,2.58E+01,,
979,2.58E+01,,
980,2.40E+01,,
981,2.40E+01,,
982,2.40E+01,,
983,2.40E+01,,
984,2.20E+01,,
985,2.20E+01,,
986,2.20E+01,,
987,2.20E+01,,
988,2.16E+01,,
989,2.16E+01,,
990,2.14E+01,,
991,2.14E+01,,
992,2.10E+01,,
993,2.10E+01,,
994,2.12E+01,,
995,2.12E+01,,
996,2.08E+01,,
997,2.08E+01,,
998,2.08E+01,,
999,2.08E+01,,
1000,2.12E+01,,
1001,2.12E+01,,
1002,2.12E+01,,
1003,2.12E+01,,
1004,2.16E+01,,
1005,2.16E+01,,
1006,2.14E+01,,
1007,2.14E+01,,
1008,2.16E+01,,
1009,2.16E+01,,
1010,2.18E+01,,
1011,2.18E+01,,
1012,2.14E+01,,
1013,2.14E+01,,
1014,2.14E+01,,
1015,2.14E+01,,
1016,2.12E+01,,
1017,2.12E+01,,
1018,2.12E+01,,
1019,2.12E+01,,
1020,2.10E+01,,
1021,2.10E+01,,
1022,2.12E+01,,
1023,2.12E+01,,
1024,2.12E+01,,
1025,2.12E+01,,
1026,2.12E+01,,
1027,2.12E+01,,
1028,2.14E+01,,
1029,2.14E+01,,
1030,2.14E+01,,
1031,2.14E+01,,
1032,2.12E+01,,
1033,2.12E+01,,
1034,2.12E+01,,
1035,2.12E+01,,
1036,2.20E+01,,
1037,2.20E+01,,
1038,2.20E+01,,
1039,2.20E+01,,
1040,2.26E+01,,
1041,2.26E+01,,
1042,2.26E+01,,
1043,2.26E+01,,
1044,2.18E+01,,
1045,2.18E+01,,
1046,2.20E+01,,
1047,2.20E+01,,
1048,2.18E+01,,
1049,2.18E+01,,
1050,2.16E+01,,
1051,2.16E+01,,
1052,2.68E+01,,
1053,2.68E+01,,
1054,2.68E+01,,
1055,2.68E+01,,
1056,5.00E+00,,
1057,5.00E+00,,
1058,5.00E+00,,
1059,5.00E+00,,
1060,2.12E+01,,
1061,2.12E+01,,
1062,2.12E+01,,
1063,2.12E+01,,
1064,2.26E+01,,
1065,2.26E+01,,
1066,2.28E+01,,
1067,2.28E+01,,
1068,2.30E+01,,
1069,2.30E+01,,
1070,2.30E+01,,
1071,2.30E+01,,
1072,2.32E+01,,
1073,2.32E+01,,
1074,2.32E+01,,
1075,2.32E+01,,
1076,2.36E+01,,
1077,2.36E+01,,
1078,2.36E+01,,
1079,2.36E+01,,
1080,2.48E+01,,
1081,2.48E+01,,
1082,2.48E+01,,
1083,2.48E+01,,
1084,2.62E+01,,
1085,2.62E+01,,
1086,2.62E+01,,
1087,2.62E+01,,
1088,2.50E+01,,
1089,2.50E+01,,
1090,2.50E+01,,
1091,2.50E+01,,
1092,2.26E+01,,
1093,2.26E+01,,
1094,2.28E+01,,
1095,2.28E+01,,
1096,2.18E+01,,
1097,2.18E+01,,
1098,2.18E+01,,
1099,2.18E+01,,
1100,2.12E+01,,
1101,2.12E+01,,
1102,2.10E+01,,
1103,2.10E+01,,
1104,2.10E+01,,
1105,2.10E+01,,
1106,2.10E+01,,
1107,2.10E+01,,
1108,2.10E+01,,
1109,2.10E+01,,
1110,2.10E+01,,
1111,2.10E+01,,
1112,2.12E+01,,
1113,2.12E+01,,
1114,2.12E+01,,
1115,2.12E+01,,
1116,2.14E+01,,
1117,2.14E+01,,
1118,2.14E+01,,
1119,2.14E+01,,
1120,2.14E+01,,
1121,2.14E+01,,
1122,2.14E+01,,
1123,2.14E+01,,
1124,2.16E+01,,
1125,2.16E+01,,
1126,2.14E+01,,
1127,2.14E+01,,
1128,2.10E+01,,
1129,2.10E+01,,
1130,2.10E+01,,
1131,2.10E+01,,
1132,2.12E+01,,
1133,2.12E+01,,
1134,2.10E+01,,
1135,2.10E+01,,
1136,2.10E+01,,
1137,2.10E+01,,
1138,2.10E+01,,
1139,2.10E+01,,
1140,2.12E+01,,
1141,2.12E+01,,
1142,2.12E+01,,
1143,2.12E+01,,
1144,2.08E+01,,
1145,2.08E+01,,
1146,2.10E+01,,
1147,2.10E+01,,
1148,2.12E+01,,
1149,2.12E+01,,
1150,2.12E+01,,
1151,2.12E+01,,
1152,2.16E+01,,
1153,2.16E+01,,
1154,2.16E+01,,
1155,2.16E+01,,
1156,2.18E+01,,
1157,2.18E+01,,
1158,2.18E+01,,
1159,2.18E+01,,
1160,2.08E+01,,
1161,2.08E+01,,
1162,2.10E+01,,
1163,2.10E+01,,
1164,2.10E+01,,
1165,2.10E+01,,
1166,2.10E+01,,
1167,2.10E+01,,
1168,2.38E+01,,
1169,2.38E+01,,
1170,2.38E+01,,
1171,2.38E+01,,
1172,7.40E+00,,
1173,7.40E+00,,
1174,7.40E+00,,
1175,7.40E+00,,
1176,2.12E+01,,
1177,2.12E+01,,
1178,2.10E+01,,
1179,2.10E+01,,
1180,2.18E+01,,
1181,2.18E+01,,
1182,2.18E+01,,
1183,2.18E+01,,
1184,2.22E+01,,
1185,2.22E+01,,
1186,2.22E+01,,
1187,2.22E+01,,
1188,2.24E+01,,
1189,2.24E+01,,
1190,2.24E+01,,
1191,2.24E+01,,
1192,2.30E+01,,
1193,2.30E+01,,
1194,2.30E+01,,
1195,2.30E+01,,
1196,2.44E+01,,
1197,2.44E+01,,
1197,2.44E+01,,
