Sequence,Volt,
0,2.80E+00,,
1,2.80E+00,,
2,2.12E+01,,
3,2.12E+01,,
4,2.12E+01,,
5,2.12E+01,,
6,2.16E+01,,
7,2.16E+01,,
8,2.18E+01,,
9,2.18E+01,,
10,2.18E+01,,
11,2.18E+01,,
12,2.20E+01,,
13,2.20E+01,,
14,2.24E+01,,
15,2.24E+01,,
16,2.22E+01,,
17,2.22E+01,,
18,2.10E+01,,
19,2.10E+01,,
20,2.10E+01,,
21,2.10E+01,,
22,2.10E+01,,
23,2.10E+01,,
24,2.10E+01,,
25,2.10E+01,,
26,2.74E+01,,
27,2.74E+01,,
28,2.74E+01,,
29,2.74E+01,,
30,2.10E+01,,
31,2.10E+01,,
32,2.10E+01,,
33,2.10E+01,,
34,2.10E+01,,
35,2.10E+01,,
36,2.10E+01,,
37,2.10E+01,,
38,2.10E+01,,
39,2.10E+01,,
40,2.10E+01,,
41,2.10E+01,,
42,2.12E+01,,
43,2.12E+01,,
44,2.12E+01,,
45,2.12E+01,,
46,2.10E+01,,
47,2.10E+01,,
48,2.12E+01,,
49,2.12E+01,,
50,2.16E+01,,
51,2.16E+01,,
52,2.16E+01,,
53,2.16E+01,,
54,2.24E+01,,
55,2.24E+01,,
56,2.24E+01,,
57,2.24E+01,,
58,2.40E+01,,
59,2.40E+01,,
60,2.40E+01,,
61,2.40E+01,,
62,2.38E+01,,
63,2.38E+01,,
64,2.38E+01,,
65,2.38E+01,,
66,2.20E+01,,
67,2.20E+01,,
68,2.20E+01,,
69,2.20E+01,,
70,2.12E+01,,
71,2.12E+01,,
72,2.14E+01,,
73,2.14E+01,,
74,2.10E+01,,
75,2.10E+01,,
76,2.10E+01,,
77,2.10E+01,,
78,2.10E+01,,
79,2.10E+01,,
80,2.12E+01,,
81,2.12E+01,,
82,2.10E+01,,
83,2.10E+01,,
84,2.10E+01,,
85,2.10E+01,,
86,2.10E+01,,
87,2.10E+01,,
88,2.10E+01,,
89,2.10E+01,,
90,2.14E+01,,
91,2.14E+01,,
92,2.12E+01,,
93,2.12E+01,,
94,2.14E+01,,
95,2.14E+01,,
96,2.12E+01,,
97,2.12E+01,,
98,2.08E+01,,
99,2.08E+01,,
100,2.08E+01,,
101,2.08E+01,,
102,2.08E+01,,
103,2.08E+01,,
104,2.08E+01,,
105,2.08E+01,,
106,2.12E+01,,
107,2.12E+01,,
108,2.12E+01,,
109,2.12E+01,,
110,2.12E+01,,
111,2.12E+01,,
112,2.12E+01,,
113,2.12E+01,,
114,2.14E+01,,
115,2.14E+01,,
116,2.12E+01,,
117,2.12E+01,,
118,2.14E+01,,
119,2.14E+01,,
120,2.16E+01,,
121,2.16E+01,,
122,2.20E+01,,
123,2.20E+01,,
124,2.18E+01,,
125,2.18E+01,,
126,2.14E+01,,
127,2.14E+01,,
128,2.14E+01,,
129,2.14E+01,,
130,2.08E+01,,
131,2.08E+01,,
132,2.10E+01,,
133,2.10E+01,,
134,2.10E+01,,
135,2.10E+01,,
136,2.12E+01,,
137,2.12E+01,,
138,2.76E+01,,
139,2.76E+01,,
140,2.78E+01,,
141,2.78E+01,,
142,2.10E+01,,
143,2.10E+01,,
144,2.10E+01,,
145,2.10E+01,,
146,2.08E+01,,
147,2.08E+01,,
148,2.06E+01,,
149,2.06E+01,,
150,2.08E+01,,
151,2.08E+01,,
152,2.08E+01,,
153,2.08E+01,,
154,2.12E+01,,
155,2.12E+01,,
156,2.10E+01,,
157,2.10E+01,,
158,2.14E+01,,
159,2.14E+01,,
160,2.12E+01,,
161,2.12E+01,,
162,2.14E+01,,
163,2.14E+01,,
164,2.14E+01,,
165,2.14E+01,,
166,2.28E+01,,
167,2.28E+01,,
168,2.28E+01,,
169,2.28E+01,,
170,2.42E+01,,
171,2.42E+01,,
172,2.40E+01,,
173,2.40E+01,,
174,2.38E+01,,
175,2.38E+01,,
176,2.38E+01,,
177,2.38E+01,,
178,2.18E+01,,
179,2.18E+01,,
180,2.18E+01,,
181,2.18E+01,,
182,2.12E+01,,
183,2.12E+01,,
184,2.12E+01,,
185,2.12E+01,,
186,2.10E+01,,
187,2.10E+01,,
188,2.10E+01,,
189,2.10E+01,,
190,2.12E+01,,
191,2.12E+01,,
192,2.12E+01,,
193,2.12E+01,,
194,2.16E+01,,
195,2.16E+01,,
196,2.16E+01,,
197,2.16E+01,,
198,2.14E+01,,
199,2.14E+01,,
200,2.12E+01,,
201,2.12E+01,,
202,2.14E+01,,
203,2.14E+01,,
204,2.14E+01,,
205,2.14E+01,,
206,2.16E+01,,
207,2.16E+01,,
208,2.16E+01,,
209,2.16E+01,,
210,2.12E+01,,
211,2.12E+01,,
212,2.12E+01,,
213,2.12E+01,,
214,2.16E+01,,
215,2.16E+01,,
216,2.16E+01,,
217,2.16E+01,,
218,2.14E+01,,
219,2.14E+01,,
220,2.12E+01,,
221,2.12E+01,,
222,2.16E+01,,
223,2.16E+01,,
224,2.14E+01,,
225,2.14E+01,,
226,2.18E+01,,
227,2.18E+01,,
228,2.16E+01,,
229,2.16E+01,,
230,2.18E+01,,
231,2.18E+01,,
232,2.16E+01,,
233,2.16E+01,,
234,2.24E+01,,
235,2.24E+01,,
236,2.22E+01,,
237,2.22E+01,,
238,2.20E+01,,
239,2.20E+01,,
240,2.20E+01,,
241,2.20E+01,,
242,2.12E+01,,
243,2.12E+01,,
244,2.12E+01,,
245,2.12E+01,,
246,2.12E+01,,
247,2.12E+01,,
248,2.12E+01,,
249,2.12E+01,,
250,2.80E+01,,
251,2.80E+01,,
252,2.80E+01,,
253,2.80E+01,,
254,2.12E+01,,
255,2.12E+01,,
256,2.14E+01,,
257,2.14E+01,,
258,2.12E+01,,
259,2.12E+01,,
260,2.12E+01,,
261,2.12E+01,,
262,2.10E+01,,
263,2.10E+01,,
264,2.10E+01,,
265,2.10E+01,,
266,2.12E+01,,
267,2.12E+01,,
268,2.12E+01,,
269,2.12E+01,,
270,2.14E+01,,
271,2.14E+01,,
272,2.16E+01,,
273,2.16E+01,,
274,2.16E+01,,
275,2.16E+01,,
276,2.18E+01,,
277,2.18E+01,,
278,2.26E+01,,
279,2.26E+01,,
280,2.26E+01,,
281,2.26E+01,,
282,2.46E+01,,
283,2.46E+01,,
284,2.46E+01,,
285,2.46E+01,,
286,2.40E+01,,
287,2.40E+01,,
288,2.40E+01,,
289,2.40E+01,,
290,2.24E+01,,
291,2.24E+01,,
292,2.24E+01,,
293,2.24E+01,,
294,2.14E+01,,
295,2.14E+01,,
296,2.14E+01,,
297,2.14E+01,,
298,2.12E+01,,
299,2.12E+01,,
300,2.12E+01,,
