Sequence,Volt,
205,2.16E+01,,
206,2.20E+01,,
207,2.20E+01,,
208,2.18E+01,,
209,2.18E+01,,
210,2.20E+01,,
211,2.20E+01,,
212,2.20E+01,,
213,2.20E+01,,
214,2.18E+01,,
215,2.18E+01,,
216,2.20E+01,,
217,2.20E+01,,
218,2.14E+01,,
219,2.14E+01,,
220,2.14E+01,,
221,2.14E+01,,
222,2.14E+01,,
223,2.14E+01,,
224,2.16E+01,,
225,2.16E+01,,
226,2.14E+01,,
227,2.14E+01,,
228,2.14E+01,,
229,2.14E+01,,
230,2.14E+01,,
231,2.14E+01,,
232,2.14E+01,,
233,2.14E+01,,
234,2.16E+01,,
235,2.16E+01,,
236,2.16E+01,,
237,2.16E+01,,
238,2.22E+01,,
239,2.22E+01,,
240,2.20E+01,,
241,2.20E+01,,
242,2.18E+01,,
243,2.18E+01,,
244,2.18E+01,,
245,2.18E+01,,
246,2.12E+01,,
247,2.12E+01,,
248,2.10E+01,,
249,2.10E+01,,
250,2.16E+01,,
251,2.16E+01,,
252,2.16E+01,,
253,2.16E+01,,
254,1.82E+01,,
255,1.82E+01,,
256,1.84E+01,,
257,1.84E+01,,
258,1.48E+01,,
259,1.48E+01,,
260,1.48E+01,,
261,1.48E+01,,
262,2.20E+01,,
263,2.20E+01,,
264,2.20E+01,,
265,2.20E+01,,
266,2.24E+01,,
267,2.24E+01,,
268,2.22E+01,,
269,2.22E+01,,
270,2.30E+01,,
271,2.30E+01,,
272,2.28E+01,,
273,2.28E+01,,
274,2.28E+01,,
275,2.28E+01,,
276,2.26E+01,,
277,2.26E+01,,
278,2.38E+01,,
279,2.38E+01,,
280,2.38E+01,,
281,2.38E+01,,
282,2.52E+01,,
283,2.52E+01,,
284,2.52E+01,,
285,2.52E+01,,
286,2.56E+01,,
287,2.56E+01,,
288,2.56E+01,,
289,2.56E+01,,
290,2.40E+01,,
291,2.40E+01,,
292,2.40E+01,,
293,2.40E+01,,
294,2.24E+01,,
295,2.24E+01,,
296,2.24E+01,,
297,2.24E+01,,
298,2.18E+01,,
299,2.18E+01,,
300,2.18E+01,,
301,2.18E+01,,
302,2.12E+01,,
303,2.12E+01,,
304,2.14E+01,,
305,2.14E+01,,
306,2.16E+01,,
307,2.16E+01,,
308,2.16E+01,,
309,2.16E+01,,
310,2.18E+01,,
311,2.18E+01,,
312,2.18E+01,,
313,2.18E+01,,
314,2.20E+01,,
315,2.20E+01,,
316,2.20E+01,,
317,2.20E+01,,
318,2.20E+01,,
319,2.20E+01,,
320,2.22E+01,,
321,2.22E+01,,
322,2.18E+01,,
323,2.18E+01,,
324,2.20E+01,,
325,2.20E+01,,
326,2.20E+01,,
327,2.20E+01,,
328,2.20E+01,,
329,2.20E+01,,
330,2.20E+01,,
331,2.20E+01,,
332,2.18E+01,,
333,2.18E+01,,
334,2.20E+01,,
335,2.20E+01,,
336,2.20E+01,,
337,2.20E+01,,
338,2.20E+01,,
339,2.20E+01,,
340,2.20E+01,,
341,2.20E+01,,
342,2.16E+01,,
343,2.16E+01,,
344,2.16E+01,,
345,2.16E+01,,
346,2.20E+01,,
347,2.20E+01,,
348,2.22E+01,,
349,2.22E+01,,
350,2.24E+01,,
351,2.24E+01,,
352,2.26E+01,,
353,2.26E+01,,
354,2.20E+01,,
355,2.20E+01,,
356,2.22E+01,,
357,2.22E+01,,
358,2.22E+01,,
359,2.22E+01,,
360,2.22E+01,,
361,2.22E+01,,
362,2.22E+01,,
363,2.22E+01,,
364,2.20E+01,,
365,2.20E+01,,
366,2.20E+01,,
367,2.20E+01,,
368,2.20E+01,,
369,2.20E+01,,
370,2.18E+01,,
371,2.18E+01,,
372,2.16E+01,,
373,2.16E+01,,
374,2.50E+01,,
375,2.50E+01,,
376,2.50E+01,,
377,2.50E+01,,
378,7.60E+00,,
379,7.60E+00,,
380,7.60E+00,,
381,7.60E+00,,
382,2.04E+01,,
383,2.04E+01,,
384,2.04E+01,,
385,2.04E+01,,
386,2.28E+01,,
387,2.28E+01,,
388,2.26E+01,,
389,2.26E+01,,
390,2.32E+01,,
391,2.32E+01,,
392,2.32E+01,,
393,2.32E+01,,
394,2.32E+01,,
395,2.32E+01,,
396,2.32E+01,,
397,2.32E+01,,
398,2.36E+01,,
399,2.36E+01,,
400,2.38E+01,,
401,2.38E+01,,
402,2.46E+01,,
403,2.46E+01,,
404,2.46E+01,,
405,2.46E+01,,
406,2.60E+01,,
407,2.60E+01,,
408,2.60E+01,,
409,2.60E+01,,
410,2.58E+01,,
411,2.58E+01,,
412,2.58E+01,,
413,2.58E+01,,
414,2.38E+01,,
415,2.38E+01,,
416,2.36E+01,,
417,2.36E+01,,
418,2.20E+01,,
419,2.20E+01,,
420,2.22E+01,,
421,2.22E+01,,
422,2.20E+01,,
423,2.20E+01,,
424,2.20E+01,,
425,2.20E+01,,
426,2.18E+01,,
427,2.18E+01,,
428,2.18E+01,,
429,2.18E+01,,
430,2.18E+01,,
431,2.18E+01,,
432,2.18E+01,,
433,2.18E+01,,
434,2.22E+01,,
435,2.22E+01,,
436,2.22E+01,,
437,2.22E+01,,
438,2.22E+01,,
439,2.22E+01,,
440,2.20E+01,,
441,2.20E+01,,
442,2.20E+01,,
443,2.20E+01,,
444,2.20E+01,,
445,2.20E+01,,
446,2.20E+01,,
447,2.20E+01,,
448,2.20E+01,,
449,2.20E+01,,
450,2.18E+01,,
451,2.18E+01,,
452,2.18E+01,,
453,2.18E+01,,
454,2.18E+01,,
455,2.18E+01,,
456,2.20E+01,,
457,2.20E+01,,
458,2.20E+01,,
459,2.20E+01,,
460,2.18E+01,,
461,2.18E+01,,
462,2.20E+01,,
463,2.20E+01,,
464,2.20E+01,,
465,2.20E+01,,
466,2.18E+01,,
467,2.18E+01,,
468,2.18E+01,,
469,2.18E+01,,
470,2.26E+01,,
471,2.26E+01,,
472,2.26E+01,,
473,2.26E+01,,
474,2.24E+01,,
475,2.24E+01,,
476,2.24E+01,,
477,2.24E+01,,
478,2.20E+01,,
479,2.20E+01,,
480,2.18E+01,,
481,2.18E+01,,
482,2.20E+01,,
483,2.20E+01,,
484,2.20E+01,,
485,2.20E+01,,
486,2.54E+01,,
487,2.54E+01,,
488,2.54E+01,,
489,2.54E+01,,
490,6.20E+00,,
491,6.20E+00,,
492,6.20E+00,,
493,6.20E+00,,
494,2.20E+01,,
495,2.20E+01,,
496,2.18E+01,,
497,2.18E+01,,
498,2.26E+01,,
499,2.26E+01,,
500,2.28E+01,,
501,2.28E+01,,
502,2.30E+01,,
503,2.30E+01,,
504,2.30E+01,,
505,2.30E+01,,
506,2.34E+01,,
507,2.34E+01,,
508,2.34E+01,,
509,2.34E+01,,
510,2.38E+01,,
511,2.38E+01,,
512,2.36E+01,,
513,2.36E+01,,
514,2.50E+01,,
515,2.50E+01,,
516,2.50E+01,,
517,2.50E+01,,
518,2.62E+01,,
519,2.62E+01,,
520,2.62E+01,,
521,2.62E+01,,
522,2.50E+01,,
523,2.50E+01,,
524,2.50E+01,,
525,2.50E+01,,
526,2.32E+01,,
527,2.32E+01,,
528,2.32E+01,,
529,2.32E+01,,
530,2.20E+01,,
531,2.20E+01,,
532,2.20E+01,,
533,2.20E+01,,
534,2.16E+01,,
535,2.16E+01,,
536,2.18E+01,,
537,2.18E+01,,
538,2.16E+01,,
539,2.16E+01,,
540,2.18E+01,,
541,2.18E+01,,
542,2.18E+01,,
543,2.18E+01,,
544,2.16E+01,,
545,2.16E+01,,
546,2.20E+01,,
547,2.20E+01,,
548,2.22E+01,,
549,2.22E+01,,
550,2.20E+01,,
551,2.20E+01,,
552,2.22E+01,,
553,2.22E+01,,
554,2.20E+01,,
555,2.20E+01,,
556,2.18E+01,,
557,2.18E+01,,
558,2.18E+01,,
559,2.18E+01,,
560,2.20E+01,,
561,2.20E+01,,
562,2.16E+01,,
563,2.16E+01,,
564,2.16E+01,,
565,2.16E+01,,
566,2.20E+01,,
567,2.20E+01,,
568,2.18E+01,,
569,2.18E+01,,
570,2.14E+01,,
571,2.14E+01,,
572,2.14E+01,,
573,2.14E+01,,
574,2.16E+01,,
575,2.16E+01,,
576,2.16E+01,,
577,2.16E+01,,
578,2.14E+01,,
579,2.14E+01,,
580,2.14E+01,,
581,2.14E+01,,
582,2.20E+01,,
583,2.20E+01,,
584,2.20E+01,,
585,2.20E+01,,
586,2.20E+01,,
587,2.20E+01,,
588,2.20E+01,,
589,2.20E+01,,
590,2.16E+01,,
591,2.16E+01,,
592,2.16E+01,,
593,2.16E+01,,
594,2.18E+01,,
595,2.18E+01,,
596,2.18E+01,,
597,2.18E+01,,
598,2.44E+01,,
599,2.44E+01,,
600,2.44E+01,,
601,2.44E+01,,
602,8.20E+00,,
603,8.20E+00,,
604,8.20E+00,,
605,8.20E+00,,
606,2.12E+01,,
607,2.12E+01,,
608,2.12E+01,,
609,2.12E+01,,
610,2.14E+01,,
611,2.14E+01,,
612,2.14E+01,,
613,2.14E+01,,
614,2.14E+01,,
615,2.14E+01,,
616,2.14E+01,,
617,2.14E+01,,
618,2.16E+01,,
619,2.16E+01,,
620,2.16E+01,,
621,2.16E+01,,
622,2.26E+01,,
623,2.26E+01,,
624,2.26E+01,,
625,2.26E+01,,
626,2.24E+01,,
627,2.24E+01,,
628,2.24E+01,,
629,2.24E+01,,
630,2.28E+01,,
631,2.28E+01,,
632,2.30E+01,,
633,2.30E+01,,
634,2.38E+01,,
635,2.38E+01,,
636,2.38E+01,,
637,2.38E+01,,
638,2.52E+01,,
639,2.52E+01,,
640,2.52E+01,,
641,2.52E+01,,
642,2.56E+01,,
643,2.56E+01,,
644,2.56E+01,,
645,2.56E+01,,
646,2.42E+01,,
647,2.42E+01,,
648,2.42E+01,,
649,2.42E+01,,
650,2.20E+01,,
651,2.20E+01,,
652,2.22E+01,,
653,2.22E+01,,
654,2.16E+01,,
655,2.16E+01,,
656,2.16E+01,,
657,2.16E+01,,
658,2.10E+01,,
659,2.10E+01,,
660,2.10E+01,,
661,2.10E+01,,
662,2.08E+01,,
663,2.08E+01,,
664,2.08E+01,,
665,2.08E+01,,
666,2.12E+01,,
667,2.12E+01,,
668,2.12E+01,,
669,2.12E+01,,
670,2.16E+01,,
671,2.16E+01,,
672,2.18E+01,,
673,2.18E+01,,
674,2.14E+01,,
675,2.14E+01,,
676,2.16E+01,,
677,2.16E+01,,
678,2.12E+01,,
679,2.12E+01,,
680,2.12E+01,,
681,2.12E+01,,
682,2.10E+01,,
683,2.10E+01,,
684,2.10E+01,,
685,2.10E+01,,
686,2.12E+01,,
687,2.12E+01,,
688,2.14E+01,,
689,2.14E+01,,
690,2.10E+01,,
691,2.10E+01,,
692,2.10E+01,,
693,2.10E+01,,
694,2.08E+01,,
695,2.08E+01,,
696,2.10E+01,,
697,2.10E+01,,
698,2.10E+01,,
699,2.10E+01,,
700,2.12E+01,,
701,2.12E+01,,
702,2.12E+01,,
703,2.12E+01,,
704,2.12E+01,,
705,2.12E+01,,
706,2.18E+01,,
707,2.18E+01,,
708,2.20E+01,,
709,2.20E+01,,
710,2.16E+01,,
711,2.16E+01,,
712,2.18E+01,,
713,2.18E+01,,
714,2.12E+01,,
715,2.12E+01,,
716,2.10E+01,,
717,2.10E+01,,
718,2.12E+01,,
719,2.12E+01,,
720,2.12E+01,,
721,2.12E+01,,
722,2.60E+01,,
723,2.60E+01,,
724,2.60E+01,,
725,2.60E+01,,
726,5.40E+00,,
727,5.40E+00,,
728,5.40E+00,,
729,5.40E+00,,
730,2.10E+01,,
731,2.10E+01,,
732,2.10E+01,,
733,2.10E+01,,
734,2.18E+01,,
735,2.18E+01,,
736,2.18E+01,,
737,2.18E+01,,
738,2.24E+01,,
739,2.24E+01,,
740,2.24E+01,,
741,2.24E+01,,
742,2.26E+01,,
743,2.26E+01,,
744,2.28E+01,,
745,2.28E+01,,
746,2.34E+01,,
747,2.34E+01,,
748,2.34E+01,,
749,2.34E+01,,
750,2.44E+01,,
751,2.44E+01,,
752,2.42E+01,,
753,2.42E+01,,
754,2.56E+01,,
755,2.56E+01,,
756,2.56E+01,,
757,2.56E+01,,
758,2.44E+01,,
759,2.44E+01,,
760,2.44E+01,,
761,2.44E+01,,
762,2.24E+01,,
763,2.24E+01,,
764,2.26E+01,,
765,2.26E+01,,
766,2.16E+01,,
767,2.16E+01,,
768,2.14E+01,,
769,2.14E+01,,
770,2.10E+01,,
771,2.10E+01,,
772,2.10E+01,,
773,2.10E+01,,
774,2.10E+01,,
775,2.10E+01,,
776,2.08E+01,,
777,2.08E+01,,
778,2.10E+01,,
779,2.10E+01,,
780,2.10E+01,,
781,2.10E+01,,
782,2.14E+01,,
783,2.14E+01,,
784,2.14E+01,,
785,2.14E+01,,
786,2.16E+01,,
787,2.16E+01,,
788,2.18E+01,,
789,2.18E+01,,
790,2.18E+01,,
791,2.18E+01,,
792,2.20E+01,,
793,2.20E+01,,
794,2.18E+01,,
795,2.18E+01,,
796,2.16E+01,,
797,2.16E+01,,
798,2.16E+01,,
799,2.16E+01,,
800,2.14E+01,,
801,2.14E+01,,
802,2.18E+01,,
803,2.18E+01,,
804,2.18E+01,,
805,2.18E+01,,
806,2.16E+01,,
807,2.16E+01,,
808,2.14E+01,,
809,2.14E+01,,
810,2.14E+01,,
811,2.14E+01,,
812,2.14E+01,,
813,2.14E+01,,
814,2.16E+01,,
815,2.16E+01,,
816,2.18E+01,,
817,2.18E+01,,
818,2.18E+01,,
819,2.18E+01,,
820,2.20E+01,,
821,2.20E+01,,
822,2.24E+01,,
823,2.24E+01,,
824,2.24E+01,,
825,2.24E+01,,
826,2.20E+01,,
827,2.20E+01,,
828,2.20E+01,,
829,2.20E+01,,
830,2.18E+01,,
831,2.18E+01,,
832,2.16E+01,,
833,2.16E+01,,
834,2.28E+01,,
835,2.28E+01,,
836,2.28E+01,,
837,2.28E+01,,
838,1.52E+01,,
839,1.52E+01,,
840,1.52E+01,,
841,1.52E+01,,
842,1.70E+01,,
843,1.70E+01,,
844,1.70E+01,,
845,1.70E+01,,
846,2.26E+01,,
847,2.26E+01,,
848,2.26E+01,,
849,2.26E+01,,
850,2.34E+01,,
851,2.34E+01,,
852,2.34E+01,,
853,2.34E+01,,
854,2.36E+01,,
855,2.36E+01,,
856,2.34E+01,,
857,2.34E+01,,
858,2.38E+01,,
859,2.38E+01,,
860,2.38E+01,,
861,2.38E+01,,
862,2.36E+01,,
863,2.36E+01,,
864,2.36E+01,,
865,2.36E+01,,
866,2.38E+01,,
867,2.38E+01,,
868,2.38E+01,,
869,2.38E+01,,
870,2.38E+01,,
871,2.38E+01,,
872,2.38E+01,,
873,2.38E+01,,
874,2.46E+01,,
875,2.46E+01,,
876,2.46E+01,,
877,2.46E+01,,
878,2.60E+01,,
879,2.60E+01,,
880,2.60E+01,,
881,2.60E+01,,
882,2.60E+01,,
883,2.60E+01,,
884,2.60E+01,,
885,2.60E+01,,
886,2.38E+01,,
887,2.38E+01,,
888,2.38E+01,,
889,2.38E+01,,
890,2.22E+01,,
891,2.22E+01,,
892,2.22E+01,,
893,2.22E+01,,
894,2.16E+01,,
895,2.16E+01,,
896,2.16E+01,,
897,2.16E+01,,
898,2.12E+01,,
899,2.12E+01,,
900,2.12E+01,,
901,2.12E+01,,
902,2.12E+01,,
903,2.12E+01,,
904,2.12E+01,,
905,2.12E+01,,
906,2.16E+01,,
907,2.16E+01,,
908,2.16E+01,,
909,2.16E+01,,
910,2.22E+01,,
911,2.22E+01,,
912,2.20E+01,,
913,2.20E+01,,
914,2.18E+01,,
915,2.18E+01,,
916,2.18E+01,,
917,2.18E+01,,
918,2.14E+01,,
919,2.14E+01,,
920,2.16E+01,,
921,2.16E+01,,
922,2.12E+01,,
923,2.12E+01,,
924,2.14E+01,,
925,2.14E+01,,
926,2.10E+01,,
927,2.10E+01,,
928,2.10E+01,,
929,2.10E+01,,
930,2.10E+01,,
931,2.10E+01,,
932,2.10E+01,,
933,2.10E+01,,
934,2.10E+01,,
935,2.10E+01,,
936,2.10E+01,,
937,2.10E+01,,
938,2.14E+01,,
939,2.14E+01,,
940,2.14E+01,,
941,2.14E+01,,
942,2.12E+01,,
943,2.12E+01,,
944,2.12E+01,,
945,2.12E+01,,
946,2.14E+01,,
947,2.14E+01,,
948,2.16E+01,,
949,2.16E+01,,
950,2.16E+01,,
