Sequence,Volt
354,2.46E+01
355,2.46E+01
356,2.46E+01
357,2.46E+01
358,2.20E+01
359,2.20E+01
360,2.20E+01
361,2.20E+01
362,2.12E+01
363,2.12E+01
364,2.14E+01
365,2.14E+01
366,2.16E+01
367,2.16E+01
368,2.16E+01
369,2.16E+01
370,2.14E+01
371,2.14E+01
372,2.14E+01
373,2.14E+01
374,2.18E+01
375,2.18E+01
376,2.18E+01
377,2.18E+01
378,2.24E+01
379,2.24E+01
380,2.22E+01
381,2.22E+01
382,2.38E+01
383,2.38E+01
384,2.38E+01
385,2.38E+01
386,2.44E+01
387,2.44E+01
388,2.42E+01
389,2.42E+01
390,2.24E+01
391,2.24E+01
392,2.26E+01
393,2.26E+01
394,2.18E+01
395,2.18E+01
396,2.16E+01
397,2.16E+01
398,2.14E+01
399,2.14E+01
400,2.14E+01
401,2.14E+01
402,2.14E+01
403,2.14E+01
404,2.14E+01
405,2.14E+01
406,2.16E+01
407,2.16E+01
408,2.16E+01
409,2.16E+01
410,2.16E+01
411,2.16E+01
412,2.18E+01
413,2.18E+01
414,2.22E+01
415,2.22E+01
416,2.22E+01
417,2.22E+01
418,2.20E+01
419,2.20E+01
420,2.22E+01
421,2.22E+01
422,2.18E+01
423,2.18E+01
424,2.18E+01
425,2.18E+01
426,2.18E+01
427,2.18E+01
428,2.18E+01
429,2.18E+01
430,2.22E+01
431,2.22E+01
432,2.22E+01
433,2.22E+01
434,2.18E+01
435,2.18E+01
436,2.20E+01
437,2.20E+01
438,2.20E+01
439,2.20E+01
440,2.22E+01
441,2.22E+01
442,2.20E+01
443,2.20E+01
444,2.22E+01
445,2.22E+01
446,2.28E+01
447,2.28E+01
448,2.28E+01
449,2.28E+01
450,2.24E+01
451,2.24E+01
452,2.26E+01
453,2.26E+01
454,2.20E+01
455,2.20E+01
456,2.20E+01
457,2.20E+01
458,2.14E+01
459,2.14E+01
460,2.12E+01
461,2.12E+01
462,2.50E+01
463,2.50E+01
464,2.50E+01
465,2.50E+01
466,2.58E+01
467,2.58E+01
468,2.58E+01
469,2.58E+01
470,2.22E+01
471,2.22E+01
472,2.20E+01
473,2.20E+01
474,2.20E+01
475,2.20E+01
476,2.20E+01
477,2.20E+01
478,2.20E+01
479,2.20E+01
480,2.20E+01
481,2.20E+01
482,2.22E+01
483,2.22E+01
484,2.20E+01
485,2.20E+01
486,2.22E+01
487,2.22E+01
488,2.22E+01
489,2.22E+01
490,2.26E+01
491,2.26E+01
492,2.26E+01
