Sequence,Volt
354,1.70E+01
355,1.70E+01
356,1.70E+01
357,1.70E+01
358,1.64E+01
359,1.64E+01
360,1.64E+01
361,1.64E+01
362,1.64E+01
363,1.64E+01
364,1.64E+01
365,1.64E+01
366,1.64E+01
367,1.64E+01
368,1.64E+01
369,1.64E+01
370,1.66E+01
371,1.66E+01
372,1.66E+01
373,1.66E+01
374,1.70E+01
375,1.70E+01
376,1.70E+01
377,1.70E+01
378,1.68E+01
379,1.68E+01
380,1.68E+01
381,1.68E+01
382,1.70E+01
383,1.70E+01
384,1.70E+01
385,1.70E+01
386,1.74E+01
387,1.74E+01
388,1.74E+01
389,1.74E+01
390,1.72E+01
391,1.72E+01
392,1.74E+01
393,1.74E+01
394,1.68E+01
395,1.68E+01
396,1.68E+01
397,1.68E+01
398,1.66E+01
399,1.66E+01
400,1.66E+01
401,1.66E+01
402,1.68E+01
403,1.68E+01
404,1.68E+01
405,1.68E+01
406,1.68E+01
407,1.68E+01
408,1.68E+01
409,1.68E+01
410,1.66E+01
411,1.66E+01
412,1.66E+01
413,1.66E+01
414,1.68E+01
415,1.68E+01
416,1.68E+01
417,1.68E+01
418,1.66E+01
419,1.66E+01
420,1.66E+01
421,1.66E+01
422,1.66E+01
423,1.66E+01
424,1.66E+01
425,1.66E+01
426,1.66E+01
427,1.66E+01
428,1.66E+01
429,1.66E+01
430,1.66E+01
431,1.66E+01
432,1.66E+01
433,1.66E+01
434,1.64E+01
435,1.64E+01
436,1.64E+01
437,1.64E+01
438,1.66E+01
439,1.66E+01
440,1.66E+01
441,1.66E+01
442,1.66E+01
443,1.66E+01
444,1.66E+01
445,1.66E+01
446,1.68E+01
447,1.68E+01
448,1.68E+01
449,1.68E+01
450,1.70E+01
451,1.70E+01
452,1.70E+01
453,1.70E+01
454,1.68E+01
455,1.68E+01
456,1.68E+01
457,1.68E+01
458,1.66E+01
459,1.66E+01
460,1.66E+01
461,1.66E+01
462,1.66E+01
463,1.66E+01
464,1.66E+01
465,1.66E+01
466,1.70E+01
467,1.70E+01
468,1.72E+01
469,1.72E+01
