Sequence,Volt,
0,2.00E-01,,
1,2.00E-01,,
2,0.00E+00,,
3,0.00E+00,,
4,0.00E+00,,
5,0.00E+00,,
6,0.00E+00,,
7,0.00E+00,,
8,0.00E+00,,
9,0.00E+00,,
10,2.14E+01,,
11,2.14E+01,,
12,2.16E+01,,
13,2.16E+01,,
14,2.14E+01,,
15,2.14E+01,,
16,2.14E+01,,
17,2.14E+01,,
18,2.20E+01,,
19,2.20E+01,,
20,2.20E+01,,
21,2.20E+01,,
22,2.22E+01,,
23,2.22E+01,,
24,2.22E+01,,
25,2.22E+01,,
26,2.12E+01,,
27,2.12E+01,,
28,2.10E+01,,
29,2.10E+01,,
30,2.10E+01,,
31,2.10E+01,,
32,2.08E+01,,
33,2.08E+01,,
34,2.60E+01,,
35,2.60E+01,,
36,2.60E+01,,
37,2.60E+01,,
38,1.34E+01,,
39,1.34E+01,,
40,1.34E+01,,
41,1.34E+01,,
42,2.12E+01,,
43,2.12E+01,,
44,2.12E+01,,
45,2.12E+01,,
46,2.16E+01,,
47,2.16E+01,,
48,2.16E+01,,
49,2.16E+01,,
50,2.18E+01,,
51,2.18E+01,,
52,2.18E+01,,
53,2.18E+01,,
54,2.18E+01,,
55,2.18E+01,,
56,2.18E+01,,
57,2.18E+01,,
58,2.20E+01,,
59,2.20E+01,,
60,2.20E+01,,
61,2.20E+01,,
62,2.28E+01,,
63,2.28E+01,,
64,2.28E+01,,
65,2.28E+01,,
66,2.40E+01,,
67,2.40E+01,,
68,2.40E+01,,
69,2.40E+01,,
70,2.42E+01,,
71,2.42E+01,,
72,2.42E+01,,
73,2.42E+01,,
74,2.26E+01,,
75,2.26E+01,,
76,2.26E+01,,
77,2.26E+01,,
78,2.16E+01,,
79,2.16E+01,,
80,2.18E+01,,
81,2.18E+01,,
82,2.14E+01,,
83,2.14E+01,,
84,2.14E+01,,
85,2.14E+01,,
86,2.12E+01,,
87,2.12E+01,,
88,2.12E+01,,
89,2.12E+01,,
90,2.14E+01,,
91,2.14E+01,,
92,2.14E+01,,
93,2.14E+01,,
94,2.16E+01,,
95,2.16E+01,,
96,2.16E+01,,
97,2.16E+01,,
98,2.18E+01,,
99,2.18E+01,,
100,2.16E+01,,
101,2.16E+01,,
102,2.14E+01,,
103,2.14E+01,,
104,2.14E+01,,
105,2.14E+01,,
106,2.10E+01,,
107,2.10E+01,,
108,2.12E+01,,
109,2.12E+01,,
110,2.12E+01,,
111,2.12E+01,,
112,2.12E+01,,
113,2.12E+01,,
114,2.12E+01,,
115,2.12E+01,,
116,2.12E+01,,
117,2.12E+01,,
118,2.14E+01,,
119,2.14E+01,,
120,2.12E+01,,
121,2.12E+01,,
122,2.14E+01,,
123,2.14E+01,,
124,2.14E+01,,
125,2.14E+01,,
126,2.16E+01,,
127,2.16E+01,,
128,2.16E+01,,
129,2.16E+01,,
130,2.18E+01,,
131,2.18E+01,,
132,2.18E+01,,
133,2.18E+01,,
134,2.20E+01,,
135,2.20E+01,,
136,2.18E+01,,
137,2.18E+01,,
138,2.14E+01,,
139,2.14E+01,,
140,2.14E+01,,
141,2.14E+01,,
142,2.08E+01,,
143,2.08E+01,,
144,2.10E+01,,
145,2.10E+01,,
146,2.80E+01,,
147,2.80E+01,,
148,2.80E+01,,
149,2.80E+01,,
150,1.46E+01,,
151,1.46E+01,,
152,1.46E+01,,
153,1.46E+01,,
154,2.12E+01,,
155,2.12E+01,,
156,2.10E+01,,
157,2.10E+01,,
158,2.14E+01,,
159,2.14E+01,,
160,2.16E+01,,
161,2.16E+01,,
162,2.18E+01,,
163,2.18E+01,,
164,2.18E+01,,
165,2.18E+01,,
166,2.18E+01,,
167,2.18E+01,,
168,2.16E+01,,
169,2.16E+01,,
170,2.18E+01,,
171,2.18E+01,,
172,2.18E+01,,
173,2.18E+01,,
174,2.28E+01,,
175,2.28E+01,,
176,2.30E+01,,
177,2.30E+01,,
178,2.40E+01,,
179,2.40E+01,,
180,2.40E+01,,
181,2.40E+01,,
182,2.38E+01,,
183,2.38E+01,,
184,2.40E+01,,
185,2.40E+01,,
186,2.24E+01,,
187,2.24E+01,,
188,2.24E+01,,
189,2.24E+01,,
190,2.18E+01,,
191,2.18E+01,,
192,2.18E+01,,
193,2.18E+01,,
194,2.14E+01,,
195,2.14E+01,,
196,2.14E+01,,
197,2.14E+01,,
198,2.12E+01,,
199,2.12E+01,,
200,2.14E+01,,
201,2.14E+01,,
202,2.14E+01,,
203,2.14E+01,,
204,2.14E+01,,
205,2.14E+01,,
206,2.20E+01,,
207,2.20E+01,,
208,2.20E+01,,
209,2.20E+01,,
210,2.18E+01,,
211,2.18E+01,,
212,2.18E+01,,
213,2.18E+01,,
214,2.18E+01,,
215,2.18E+01,,
216,2.18E+01,,
217,2.18E+01,,
218,2.20E+01,,
219,2.20E+01,,
220,2.18E+01,,
221,2.18E+01,,
222,2.14E+01,,
223,2.14E+01,,
224,2.16E+01,,
225,2.16E+01,,
226,2.14E+01,,
227,2.14E+01,,
228,2.16E+01,,
229,2.16E+01,,
230,2.16E+01,,
231,2.16E+01,,
232,2.16E+01,,
233,2.16E+01,,
234,2.18E+01,,
235,2.18E+01,,
236,2.18E+01,,
237,2.18E+01,,
238,2.18E+01,,
239,2.18E+01,,
240,2.18E+01,,
241,2.18E+01,,
242,2.26E+01,,
243,2.26E+01,,
244,2.26E+01,,
245,2.26E+01,,
246,2.24E+01,,
247,2.24E+01,,
248,2.24E+01,,
249,2.24E+01,,
250,2.16E+01,,
251,2.16E+01,,
252,2.16E+01,,
253,2.16E+01,,
254,2.14E+01,,
255,2.14E+01,,
256,2.14E+01,,
257,2.14E+01,,
258,2.72E+01,,
259,2.72E+01,,
260,2.74E+01,,
261,2.74E+01,,
262,1.46E+01,,
263,1.46E+01,,
