Sequence,Volt,
264,1.46E+01,,
265,1.46E+01,,
266,2.16E+01,,
267,2.16E+01,,
268,2.16E+01,,
269,2.16E+01,,
270,2.20E+01,,
271,2.20E+01,,
272,2.20E+01,,
273,2.20E+01,,
274,2.20E+01,,
275,2.20E+01,,
276,2.20E+01,,
277,2.20E+01,,
278,2.18E+01,,
279,2.18E+01,,
280,2.18E+01,,
281,2.18E+01,,
282,2.24E+01,,
283,2.24E+01,,
284,2.24E+01,,
285,2.24E+01,,
286,2.28E+01,,
287,2.28E+01,,
288,2.28E+01,,
289,2.28E+01,,
290,2.42E+01,,
291,2.42E+01,,
292,2.42E+01,,
293,2.42E+01,,
294,2.42E+01,,
295,2.42E+01,,
296,2.42E+01,,
297,2.42E+01,,
298,2.30E+01,,
299,2.30E+01,,
300,2.30E+01,,
301,2.30E+01,,
302,2.18E+01,,
303,2.18E+01,,
304,2.18E+01,,
305,2.18E+01,,
306,2.16E+01,,
307,2.16E+01,,
308,2.16E+01,,
309,2.16E+01,,
310,2.14E+01,,
311,2.14E+01,,
312,2.14E+01,,
313,2.14E+01,,
314,2.16E+01,,
315,2.16E+01,,
316,2.14E+01,,
317,2.14E+01,,
318,2.16E+01,,
319,2.16E+01,,
320,2.14E+01,,
321,2.14E+01,,
322,2.14E+01,,
323,2.14E+01,,
324,2.14E+01,,
325,2.14E+01,,
326,2.16E+01,,
327,2.16E+01,,
328,2.18E+01,,
329,2.18E+01,,
330,2.16E+01,,
331,2.16E+01,,
332,2.16E+01,,
333,2.16E+01,,
334,2.14E+01,,
335,2.14E+01,,
336,2.14E+01,,
337,2.14E+01,,
338,2.18E+01,,
339,2.18E+01,,
340,2.16E+01,,
341,2.16E+01,,
342,2.14E+01,,
343,2.14E+01,,
344,2.12E+01,,
345,2.12E+01,,
346,2.14E+01,,
347,2.14E+01,,
348,2.16E+01,,
349,2.16E+01,,
350,2.18E+01,,
351,2.18E+01,,
352,2.18E+01,,
353,2.18E+01,,
354,2.22E+01,,
355,2.22E+01,,
356,2.22E+01,,
357,2.22E+01,,
358,2.22E+01,,
359,2.22E+01,,
360,2.22E+01,,
361,2.22E+01,,
362,2.10E+01,,
363,2.10E+01,,
364,2.10E+01,,
365,2.10E+01,,
366,2.16E+01,,
367,2.16E+01,,
368,2.16E+01,,
369,2.16E+01,,
370,2.52E+01,,
371,2.52E+01,,
372,2.50E+01,,
373,2.50E+01,,
374,1.76E+01,,
375,1.76E+01,,
376,1.76E+01,,
377,1.76E+01,,
378,2.16E+01,,
379,2.16E+01,,
380,2.16E+01,,
381,2.16E+01,,
382,2.18E+01,,
383,2.18E+01,,
384,2.18E+01,,
385,2.18E+01,,
386,2.20E+01,,
387,2.20E+01,,
388,2.20E+01,,
389,2.20E+01,,
390,2.18E+01,,
391,2.18E+01,,
392,2.18E+01,,
393,2.18E+01,,
394,2.22E+01,,
395,2.22E+01,,
396,2.22E+01,,
397,2.22E+01,,
398,2.32E+01,,
399,2.32E+01,,
400,2.32E+01,,
401,2.32E+01,,
402,2.44E+01,,
403,2.44E+01,,
404,2.44E+01,,
405,2.44E+01,,
406,2.38E+01,,
407,2.38E+01,,
408,2.38E+01,,
409,2.38E+01,,
410,2.22E+01,,
411,2.22E+01,,
412,2.24E+01,,
413,2.24E+01,,
414,2.14E+01,,
415,2.14E+01,,
416,2.14E+01,,
417,2.14E+01,,
418,2.10E+01,,
419,2.10E+01,,
420,2.08E+01,,
421,2.08E+01,,
422,2.08E+01,,
423,2.08E+01,,
424,2.10E+01,,
425,2.10E+01,,
426,2.12E+01,,
427,2.12E+01,,
428,2.12E+01,,
429,2.12E+01,,
430,2.12E+01,,
431,2.12E+01,,
432,2.10E+01,,
433,2.10E+01,,
434,2.14E+01,,
435,2.14E+01,,
436,2.12E+01,,
437,2.12E+01,,
438,2.14E+01,,
439,2.14E+01,,
440,2.16E+01,,
441,2.16E+01,,
442,2.14E+01,,
443,2.14E+01,,
444,2.14E+01,,
445,2.14E+01,,
446,2.12E+01,,
447,2.12E+01,,
448,2.12E+01,,
449,2.12E+01,,
450,2.12E+01,,
451,2.12E+01,,
452,2.12E+01,,
453,2.12E+01,,
454,2.10E+01,,
455,2.10E+01,,
456,2.12E+01,,
457,2.12E+01,,
458,2.10E+01,,
459,2.10E+01,,
460,2.08E+01,,
461,2.08E+01,,
462,2.12E+01,,
463,2.12E+01,,
464,2.12E+01,,
465,2.12E+01,,
466,2.18E+01,,
467,2.18E+01,,
468,2.18E+01,,
469,2.18E+01,,
470,2.16E+01,,
471,2.16E+01,,
472,2.16E+01,,
473,2.16E+01,,
474,2.06E+01,,
475,2.06E+01,,
476,2.06E+01,,
477,2.06E+01,,
478,2.14E+01,,
479,2.14E+01,,
480,2.16E+01,,
481,2.16E+01,,
482,2.26E+01,,
483,2.26E+01,,
484,2.26E+01,,
485,2.26E+01,,
486,1.80E+01,,
487,1.80E+01,,
488,1.80E+01,,
489,1.80E+01,,
490,2.10E+01,,
491,2.10E+01,,
492,2.10E+01,,
493,2.10E+01,,
494,2.12E+01,,
495,2.12E+01,,
496,2.12E+01,,
497,2.12E+01,,
498,2.14E+01,,
499,2.14E+01,,
500,2.14E+01,,
501,2.14E+01,,
502,2.16E+01,,
503,2.16E+01,,
504,2.16E+01,,
505,2.16E+01,,
506,2.20E+01,,
507,2.20E+01,,
508,2.20E+01,,
509,2.20E+01,,
510,2.24E+01,,
511,2.24E+01,,
512,2.24E+01,,
513,2.24E+01,,
514,2.40E+01,,
515,2.40E+01,,
516,2.40E+01,,
517,2.40E+01,,
518,2.40E+01,,
519,2.40E+01,,
520,2.40E+01,,
521,2.40E+01,,
522,2.18E+01,,
523,2.18E+01,,
524,2.20E+01,,
525,2.20E+01,,
526,2.10E+01,,
527,2.10E+01,,
528,2.12E+01,,
529,2.12E+01,,
530,2.08E+01,,
531,2.08E+01,,
532,2.08E+01,,
533,2.08E+01,,
534,2.08E+01,,
535,2.08E+01,,
536,2.08E+01,,
537,2.08E+01,,
538,2.08E+01,,
539,2.08E+01,,
540,2.08E+01,,
541,2.08E+01,,
542,2.10E+01,,
543,2.10E+01,,
544,2.10E+01,,
545,2.10E+01,,
546,2.10E+01,,
547,2.10E+01,,
548,2.12E+01,,
549,2.12E+01,,
550,2.08E+01,,
551,2.08E+01,,
552,2.08E+01,,
553,2.08E+01,,
554,2.08E+01,,
555,2.08E+01,,
556,2.10E+01,,
557,2.10E+01,,
558,2.08E+01,,
559,2.08E+01,,
560,2.06E+01,,
561,2.06E+01,,
562,2.06E+01,,
563,2.06E+01,,
564,2.08E+01,,
565,2.08E+01,,
566,2.08E+01,,
567,2.08E+01,,
568,2.10E+01,,
569,2.10E+01,,
570,2.08E+01,,
571,2.08E+01,,
572,2.08E+01,,
573,2.08E+01,,
574,2.10E+01,,
575,2.10E+01,,
576,2.10E+01,,
577,2.10E+01,,
578,2.16E+01,,
579,2.16E+01,,
580,2.14E+01,,
581,2.14E+01,,
582,2.16E+01,,
583,2.16E+01,,
584,2.14E+01,,
585,2.14E+01,,
586,2.10E+01,,
587,2.10E+01,,
588,2.10E+01,,
589,2.10E+01,,
590,2.04E+01,,
591,2.04E+01,,
592,2.06E+01,,
593,2.06E+01,,
594,2.42E+01,,
595,2.42E+01,,
596,2.42E+01,,
597,2.42E+01,,
598,1.52E+01,,
599,1.52E+01,,
600,1.54E+01,,
601,1.54E+01,,
602,2.02E+01,,
603,2.02E+01,,
604,2.02E+01,,
605,2.02E+01,,
606,2.10E+01,,
607,2.10E+01,,
608,2.12E+01,,
609,2.12E+01,,
610,2.12E+01,,
611,2.12E+01,,
612,2.14E+01,,
613,2.14E+01,,
614,2.14E+01,,
615,2.14E+01,,
616,2.14E+01,,
617,2.14E+01,,
618,2.10E+01,,
619,2.10E+01,,
620,2.12E+01,,
621,2.12E+01,,
622,2.18E+01,,
623,2.18E+01,,
624,2.18E+01,,
625,2.18E+01,,
626,2.32E+01,,
627,2.32E+01,,
628,2.32E+01,,
629,2.32E+01,,
630,2.36E+01,,
631,2.36E+01,,
632,2.36E+01,,
633,2.36E+01,,
634,2.24E+01,,
635,2.24E+01,,
636,2.24E+01,,
637,2.24E+01,,
638,2.08E+01,,
639,2.08E+01,,
640,2.08E+01,,
641,2.08E+01,,
642,2.06E+01,,
643,2.06E+01,,
644,2.04E+01,,
645,2.04E+01,,
646,2.06E+01,,
647,2.06E+01,,
648,2.06E+01,,
649,2.06E+01,,
650,2.06E+01,,
651,2.06E+01,,
652,2.06E+01,,
653,2.06E+01,,
654,2.04E+01,,
655,2.04E+01,,
656,2.04E+01,,
657,2.04E+01,,
658,2.06E+01,,
659,2.06E+01,,
660,2.06E+01,,
661,2.06E+01,,
662,2.10E+01,,
663,2.10E+01,,
664,2.10E+01,,
665,2.10E+01,,
666,2.10E+01,,
667,2.10E+01,,
668,2.10E+01,,
669,2.10E+01,,
670,2.08E+01,,
671,2.08E+01,,
672,2.08E+01,,
673,2.08E+01,,
674,2.06E+01,,
675,2.06E+01,,
676,2.08E+01,,
677,2.08E+01,,
678,2.06E+01,,
679,2.06E+01,,
680,2.06E+01,,
681,2.06E+01,,
682,2.06E+01,,
683,2.06E+01,,
684,2.06E+01,,
685,2.06E+01,,
686,2.04E+01,,
687,2.04E+01,,
688,2.04E+01,,
689,2.04E+01,,
690,2.08E+01,,
691,2.08E+01,,
692,2.08E+01,,
693,2.08E+01,,
694,2.16E+01,,
695,2.16E+01,,
696,2.14E+01,,
697,2.14E+01,,
698,2.14E+01,,
699,2.14E+01,,
700,2.14E+01,,
701,2.14E+01,,
702,2.08E+01,,
703,2.08E+01,,
704,2.08E+01,,
705,2.08E+01,,
706,2.06E+01,,
707,2.06E+01,,
708,2.08E+01,,
709,2.08E+01,,
710,2.66E+01,,
711,2.66E+01,,
712,2.68E+01,,
713,2.68E+01,,
714,1.56E+01,,
715,1.56E+01,,
716,1.56E+01,,
717,1.56E+01,,
718,2.10E+01,,
719,2.10E+01,,
720,2.10E+01,,
721,2.10E+01,,
722,2.14E+01,,
723,2.14E+01,,
724,2.12E+01,,
725,2.12E+01,,
726,2.12E+01,,
727,2.12E+01,,
728,2.12E+01,,
729,2.12E+01,,
730,2.14E+01,,
731,2.14E+01,,
732,2.14E+01,,
733,2.14E+01,,
734,2.16E+01,,
735,2.16E+01,,
736,2.16E+01,,
737,2.16E+01,,
738,2.24E+01,,
739,2.24E+01,,
740,2.24E+01,,
741,2.24E+01,,
742,2.36E+01,,
743,2.36E+01,,
744,2.36E+01,,
745,2.36E+01,,
746,2.42E+01,,
747,2.42E+01,,
748,2.40E+01,,
749,2.40E+01,,
750,2.24E+01,,
751,2.24E+01,,
752,2.24E+01,,
753,2.24E+01,,
754,2.18E+01,,
755,2.18E+01,,
756,2.18E+01,,
757,2.18E+01,,
758,2.12E+01,,
759,2.12E+01,,
760,2.14E+01,,
761,2.14E+01,,
762,2.10E+01,,
763,2.10E+01,,
764,2.10E+01,,
765,2.10E+01,,
766,2.12E+01,,
767,2.12E+01,,
768,2.12E+01,,
769,2.12E+01,,
770,2.14E+01,,
771,2.14E+01,,
772,2.14E+01,,
773,2.14E+01,,
774,2.12E+01,,
775,2.12E+01,,
776,2.14E+01,,
777,2.14E+01,,
778,2.14E+01,,
779,2.14E+01,,
780,2.14E+01,,
781,2.14E+01,,
782,2.14E+01,,
783,2.14E+01,,
784,2.14E+01,,
785,2.14E+01,,
786,2.14E+01,,
787,2.14E+01,,
788,2.14E+01,,
789,2.14E+01,,
790,2.12E+01,,
791,2.12E+01,,
792,2.12E+01,,
793,2.12E+01,,
794,2.12E+01,,
795,2.12E+01,,
796,2.12E+01,,
797,2.12E+01,,
798,2.16E+01,,
799,2.16E+01,,
800,2.14E+01,,
801,2.14E+01,,
802,2.16E+01,,
803,2.16E+01,,
804,2.14E+01,,
805,2.14E+01,,
806,2.14E+01,,
807,2.14E+01,,
808,2.12E+01,,
809,2.12E+01,,
810,2.16E+01,,
811,2.16E+01,,
812,2.16E+01,,
813,2.16E+01,,
814,2.20E+01,,
815,2.20E+01,,
816,2.20E+01,,
817,2.20E+01,,
818,2.10E+01,,
819,2.10E+01,,
820,2.12E+01,,
821,2.12E+01,,
822,2.14E+01,,
823,2.14E+01,,
824,2.14E+01,,
825,2.14E+01,,
826,2.64E+01,,
827,2.64E+01,,
828,2.64E+01,,
829,2.64E+01,,
830,1.44E+01,,
831,1.44E+01,,
832,1.44E+01,,
833,1.44E+01,,
834,2.10E+01,,
835,2.10E+01,,
836,2.12E+01,,
837,2.12E+01,,
838,2.14E+01,,
839,2.14E+01,,
840,2.14E+01,,
841,2.14E+01,,
842,2.14E+01,,
843,2.14E+01,,
844,2.14E+01,,
845,2.14E+01,,
846,2.18E+01,,
847,2.18E+01,,
848,2.18E+01,,
849,2.18E+01,,
850,2.20E+01,,
851,2.20E+01,,
852,2.20E+01,,
853,2.20E+01,,
854,2.24E+01,,
855,2.24E+01,,
856,2.24E+01,,
857,2.24E+01,,
858,2.38E+01,,
859,2.38E+01,,
860,2.38E+01,,
861,2.38E+01,,
862,2.38E+01,,
863,2.38E+01,,
864,2.38E+01,,
865,2.38E+01,,
866,2.22E+01,,
867,2.22E+01,,
868,2.22E+01,,
869,2.22E+01,,
870,2.10E+01,,
871,2.10E+01,,
872,2.08E+01,,
873,2.08E+01,,
874,2.10E+01,,
875,2.10E+01,,
876,2.08E+01,,
877,2.08E+01,,
878,2.08E+01,,
879,2.08E+01,,
880,2.06E+01,,
881,2.06E+01,,
882,2.06E+01,,
883,2.06E+01,,
884,2.08E+01,,
885,2.08E+01,,
886,2.10E+01,,
887,2.10E+01,,
888,2.08E+01,,
889,2.08E+01,,
890,2.10E+01,,
891,2.10E+01,,
892,2.12E+01,,
893,2.12E+01,,
894,2.10E+01,,
895,2.10E+01,,
896,2.08E+01,,
897,2.08E+01,,
898,2.08E+01,,
899,2.08E+01,,
900,2.10E+01,,
901,2.10E+01,,
902,2.06E+01,,
903,2.06E+01,,
904,2.08E+01,,
905,2.08E+01,,
906,2.04E+01,,
907,2.04E+01,,
908,2.06E+01,,
909,2.06E+01,,
910,2.06E+01,,
911,2.06E+01,,
912,2.08E+01,,
913,2.08E+01,,
914,2.08E+01,,
915,2.08E+01,,
916,2.08E+01,,
917,2.08E+01,,
918,2.10E+01,,
919,2.10E+01,,
920,2.10E+01,,
921,2.10E+01,,
922,2.12E+01,,
923,2.12E+01,,
924,2.12E+01,,
925,2.12E+01,,
926,2.20E+01,,
927,2.20E+01,,
928,2.20E+01,,
929,2.20E+01,,
930,2.14E+01,,
931,2.14E+01,,
932,2.12E+01,,
933,2.12E+01,,
934,2.12E+01,,
935,2.12E+01,,
936,2.12E+01,,
937,2.12E+01,,
938,2.46E+01,,
939,2.46E+01,,
940,2.46E+01,,
941,2.46E+01,,
942,1.50E+01,,
943,1.50E+01,,
944,1.52E+01,,
945,1.52E+01,,
946,2.00E+01,,
947,2.00E+01,,
948,1.98E+01,,
949,1.98E+01,,
950,2.14E+01,,
951,2.14E+01,,
952,2.12E+01,,
953,2.12E+01,,
954,2.16E+01,,
955,2.16E+01,,
956,2.16E+01,,
957,2.16E+01,,
958,2.16E+01,,
959,2.16E+01,,
960,2.16E+01,,
961,2.16E+01,,
962,2.18E+01,,
963,2.18E+01,,
964,2.16E+01,,
965,2.16E+01,,
966,2.22E+01,,
967,2.22E+01,,
968,2.22E+01,,
969,2.22E+01,,
970,2.36E+01,,
971,2.36E+01,,
972,2.36E+01,,
973,2.36E+01,,
974,2.44E+01,,
975,2.44E+01,,
976,2.44E+01,,
977,2.44E+01,,
978,2.40E+01,,
979,2.40E+01,,
980,2.40E+01,,
981,2.40E+01,,
982,2.20E+01,,
983,2.20E+01,,
984,2.20E+01,,
985,2.20E+01,,
986,2.12E+01,,
987,2.12E+01,,
988,2.14E+01,,
989,2.14E+01,,
990,2.10E+01,,
991,2.10E+01,,
992,2.08E+01,,
993,2.08E+01,,
994,2.06E+01,,
995,2.06E+01,,
996,2.06E+01,,
997,2.06E+01,,
998,2.10E+01,,
999,2.10E+01,,
1000,2.08E+01,,
1001,2.08E+01,,
1002,2.10E+01,,
1003,2.10E+01,,
1004,2.12E+01,,
1005,2.12E+01,,
1006,2.14E+01,,
1007,2.14E+01,,
1008,2.16E+01,,
1009,2.16E+01,,
1010,2.14E+01,,
1011,2.14E+01,,
1012,2.14E+01,,
1013,2.14E+01,,
1014,2.16E+01,,
1015,2.16E+01,,
1016,2.14E+01,,
1017,2.14E+01,,
1018,2.12E+01,,
1019,2.12E+01,,
1020,2.12E+01,,
1021,2.12E+01,,
1022,2.16E+01,,
1023,2.16E+01,,
1024,2.14E+01,,
1025,2.14E+01,,
1026,2.16E+01,,
1027,2.16E+01,,
1028,2.16E+01,,
1029,2.16E+01,,
1030,2.18E+01,,
1031,2.18E+01,,
1032,2.18E+01,,
1033,2.18E+01,,
1034,2.22E+01,,
1035,2.22E+01,,
1036,2.22E+01,,
1037,2.22E+01,,
1038,2.26E+01,,
1039,2.26E+01,,
1040,2.26E+01,,
1041,2.26E+01,,
1042,2.16E+01,,
1043,2.16E+01,,
1044,2.16E+01,,
1045,2.16E+01,,
1046,2.12E+01,,
1047,2.12E+01,,
1048,2.14E+01,,
1049,2.14E+01,,
1050,2.60E+01,,
1051,2.60E+01,,
1052,2.62E+01,,
1053,2.62E+01,,
1054,1.30E+01,,
1055,1.30E+01,,
1056,1.30E+01,,
1057,1.30E+01,,
1058,2.10E+01,,
1059,2.10E+01,,
1060,2.10E+01,,
1061,2.10E+01,,
1062,2.16E+01,,
1063,2.16E+01,,
1064,2.16E+01,,
1065,2.16E+01,,
1066,2.18E+01,,
1067,2.18E+01,,
1068,2.18E+01,,
1069,2.18E+01,,
1070,2.20E+01,,
1071,2.20E+01,,
1072,2.20E+01,,
1073,2.20E+01,,
1074,2.18E+01,,
1075,2.18E+01,,
1076,2.18E+01,,
1077,2.18E+01,,
1078,2.24E+01,,
1079,2.24E+01,,
1080,2.24E+01,,
1081,2.24E+01,,
1082,2.40E+01,,
1083,2.40E+01,,
1084,2.40E+01,,
1085,2.40E+01,,
1086,2.44E+01,,
1087,2.44E+01,,
1088,2.44E+01,,
1089,2.44E+01,,
1090,2.30E+01,,
1091,2.30E+01,,
1092,2.30E+01,,
1093,2.30E+01,,
1094,2.16E+01,,
1095,2.16E+01,,
1096,2.18E+01,,
1097,2.18E+01,,
1098,2.14E+01,,
1099,2.14E+01,,
1100,2.16E+01,,
1101,2.16E+01,,
1102,2.12E+01,,
1103,2.12E+01,,
1104,2.12E+01,,
1105,2.12E+01,,
1106,2.10E+01,,
1107,2.10E+01,,
1108,2.10E+01,,
1109,2.10E+01,,
1110,2.08E+01,,
1111,2.08E+01,,
1112,2.08E+01,,
1113,2.08E+01,,
1114,2.14E+01,,
1115,2.14E+01,,
1116,2.12E+01,,
1117,2.12E+01,,
1118,2.16E+01,,
1119,2.16E+01,,
1120,2.16E+01,,
1121,2.16E+01,,
1122,2.12E+01,,
1123,2.12E+01,,
1124,2.12E+01,,
1125,2.12E+01,,
1126,2.14E+01,,
1127,2.14E+01,,
1128,2.14E+01,,
1129,2.14E+01,,
1130,2.14E+01,,
1131,2.14E+01,,
1132,2.14E+01,,
1133,2.14E+01,,
1134,2.10E+01,,
1135,2.10E+01,,
1136,2.10E+01,,
1137,2.10E+01,,
1138,2.10E+01,,
1139,2.10E+01,,
1140,2.10E+01,,
1141,2.10E+01,,
1142,2.06E+01,,
1143,2.06E+01,,
1144,2.08E+01,,
1145,2.08E+01,,
1146,2.08E+01,,
1147,2.08E+01,,
1148,2.08E+01,,
1149,2.08E+01,,
1150,2.18E+01,,
1151,2.18E+01,,
1152,2.18E+01,,
1153,2.18E+01,,
1154,2.20E+01,,
1155,2.20E+01,,
1156,2.20E+01,,
1157,2.20E+01,,
1158,2.14E+01,,
1159,2.14E+01,,
1160,2.14E+01,,
1161,2.14E+01,,
1162,2.10E+01,,
1163,2.10E+01,,
1164,2.08E+01,,
1165,2.08E+01,,
1166,2.72E+01,,
1167,2.72E+01,,
1168,2.70E+01,,
1169,2.70E+01,,
1170,1.40E+01,,
1171,1.40E+01,,
1172,1.40E+01,,
1173,1.40E+01,,
1174,2.12E+01,,
1175,2.12E+01,,
1176,2.12E+01,,
1177,2.12E+01,,
1178,2.14E+01,,
1179,2.14E+01,,
1180,2.14E+01,,
1181,2.14E+01,,
1182,2.14E+01,,
1183,2.14E+01,,
1184,2.14E+01,,
1185,2.14E+01,,
1186,2.14E+01,,
1187,2.14E+01,,
1188,2.14E+01,,
1189,2.14E+01,,
1190,2.20E+01,,
1191,2.20E+01,,
1192,2.20E+01,,
1193,2.20E+01,,
1194,2.26E+01,,
1195,2.26E+01,,
1196,2.26E+01,,
1197,2.26E+01,,
1198,2.44E+01,,
1199,2.44E+01,,
1199,2.44E+01,,
