Sequence,Volt,
225,1.72e+01,
226,1.70e+01,
227,1.70e+01,
228,1.70e+01,
229,1.70e+01,
230,1.72e+01,
231,1.72e+01,
232,1.70e+01,
233,1.70e+01,
234,1.72e+01,
235,1.72e+01,
236,1.72e+01,
237,1.72e+01,
238,1.72e+01,
239,1.72e+01,
240,1.72e+01,
241,1.72e+01,
242,1.74e+01,
243,1.74e+01,
244,1.72e+01,
245,1.72e+01,
246,1.70e+01,
247,1.70e+01,
248,1.70e+01,
249,1.70e+01,
250,1.70e+01,
251,1.70e+01,
252,1.68e+01,
253,1.68e+01,
254,1.74e+01,
255,1.74e+01,
256,1.74e+01,
257,1.74e+01,
258,1.68e+01,
259,1.68e+01,
260,1.68e+01,
261,1.68e+01,
262,1.66e+01,
263,1.66e+01,
264,1.66e+01,
265,1.66e+01,
266,1.68e+01,
267,1.68e+01,
268,1.68e+01,
269,1.68e+01,
270,1.72e+01,
271,1.72e+01,
272,1.72e+01,
273,1.72e+01,
274,1.70e+01,
275,1.70e+01,
276,1.70e+01,
277,1.70e+01,
278,1.50e+01,
279,1.50e+01,
280,1.50e+01,
281,1.50e+01,
282,1.70e+01,
283,1.70e+01,
284,1.72e+01,
285,1.72e+01,
286,1.72e+01,
287,1.72e+01,
288,1.72e+01,
289,1.72e+01,
290,1.70e+01,
291,1.70e+01,
292,1.72e+01,
293,1.72e+01,
294,1.72e+01,
295,1.72e+01,
296,1.72e+01,
297,1.72e+01,
298,1.70e+01,
299,1.70e+01,
300,1.72e+01,
301,1.72e+01,
302,1.66e+01,
303,1.66e+01,
304,1.66e+01,
305,1.66e+01,
306,1.66e+01,
307,1.66e+01,
308,1.68e+01,
309,1.68e+01,
310,1.56e+01,
311,1.56e+01,
312,1.56e+01,
313,1.56e+01,
314,1.60e+01,
315,1.60e+01,
316,1.60e+01,
317,1.60e+01,
318,1.68e+01,
319,1.68e+01,
320,1.68e+01,
321,1.68e+01,
322,1.70e+01,
323,1.70e+01,
324,1.70e+01,
325,1.70e+01,
326,1.72e+01,
327,1.72e+01,
328,1.72e+01,
329,1.72e+01,
330,1.72e+01,
331,1.72e+01,
332,1.72e+01,
333,1.72e+01,
